0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
7.0,7.0,16.0,5.0,2.0,2.0,2.0,6.0,0.0,0.0,4.038709677419354,6.26,4.05,1.55,-1.0
6.0,12.0,11.0,14.0,1.0,2.0,3.0,2.0,1.0,3.0,1.9698492462311556,3.92,3.37,1.99,-1.0
7.0,5.0,15.0,7.0,3.0,1.0,2.0,6.0,0.0,0.0,0.7524752475247525,2.28,3.46,3.03,-1.0
12.0,4.0,7.0,8.0,3.0,3.0,0.0,3.0,2.0,1.0,0.5411140583554377,2.04,3.33,3.77,1.0
9.0,11.0,4.0,9.0,1.0,2.0,3.0,1.0,1.0,4.0,0.3739495798319328,1.78,3.56,4.76,1.0
8.0,5.0,13.0,2.0,2.0,3.0,1.0,6.0,0.0,0.0,4.234177215189874,6.69,3.72,1.58,-1.0
8.0,4.0,5.0,3.0,3.0,3.0,0.0,2.0,3.0,1.0,0.341796875,1.75,3.52,5.12,-1.0
9.0,9.0,9.0,8.0,2.0,2.0,2.0,3.0,1.0,2.0,1.1847389558232932,2.95,3.2,2.49,-1.0
11.0,2.0,8.0,7.0,4.0,1.0,1.0,4.0,0.0,2.0,0.46191646191646185,1.88,3.66,4.07,1.0
9.0,12.0,8.0,10.0,2.0,0.0,4.0,1.0,3.0,2.0,0.8566433566433568,2.45,3.37,2.86,0.0
9.0,6.0,6.0,8.0,3.0,2.0,1.0,3.0,1.0,2.0,1.5610859728506787,3.45,3.26,2.21,0.0
9.0,6.0,7.0,11.0,4.0,1.0,1.0,1.0,2.0,3.0,0.47058823529411764,1.92,3.46,4.08,-1.0
6.0,13.0,11.0,6.0,2.0,0.0,4.0,2.0,4.0,0.0,5.6521739130434785,7.8,4.92,1.38,0.0
14.0,9.0,7.0,4.0,3.0,1.0,2.0,4.0,1.0,1.0,3.275,5.24,4.2,1.6,-1.0
18.0,9.0,6.0,11.0,4.0,2.0,0.0,1.0,0.0,5.0,0.7857142857142857,2.31,3.58,2.94,0.0
6.0,9.0,11.0,1.0,1.0,2.0,3.0,5.0,1.0,0.0,7.413533834586465,9.86,5.06,1.33,-1.0
8.0,11.0,6.0,5.0,3.0,0.0,3.0,1.0,4.0,1.0,1.2928870292887027,3.09,3.24,2.39,0.0
8.0,9.0,12.0,8.0,2.0,2.0,2.0,3.0,2.0,1.0,1.12015503875969,2.89,3.14,2.58,0.0
7.0,8.0,7.0,6.0,2.0,2.0,2.0,1.0,4.0,1.0,1.3489361702127658,3.17,3.24,2.35,-1.0
8.0,8.0,9.0,12.0,2.0,0.0,4.0,1.0,1.0,4.0,0.25611745513866235,1.57,3.94,6.13,1.0
11.0,9.0,14.0,9.0,4.0,1.0,1.0,4.0,0.0,2.0,0.20138888888888887,1.45,4.49,7.2,1.0
