homeTeam,awayTeam,league,result,odds,date
Fiorentina,Salernitana,Serie A,4:0,"['1.25', '6.01', '11.66']",2021-12-11
Udinese,AC Milan,Serie A,1:1,"['4.33', '3.57', '1.84']",2021-12-11
Venezia,Juventus,Serie A,1:1,"['8.10', '4.59', '1.40']",2021-12-11
Genoa,Sampdoria,Serie A,1:3,"['3.41', '3.17', '2.25']",2021-12-10
Empoli,Udinese,Serie A,3:1,"['2.31', '3.42', '3.02']",2021-12-06
Cagliari,Torino,Serie A,1:1,"['3.23', '3.14', '2.34']",2021-12-06
Juventus,Genoa,Serie A,2:0,"['1.21', '6.35', '14.26']",2021-12-05
Sampdoria,Lazio,Serie A,1:3,"['3.22', '3.50', '2.18']",2021-12-05
Spezia,Sassuolo,Serie A,2:2,"['3.01', '3.45', '2.30']",2021-12-05
Venezia,Verona,Serie A,3:4,"['3.78', '3.39', '2.03']",2021-12-05
Bologna,Fiorentina,Serie A,2:3,"['2.89', '3.22', '2.51']",2021-12-05
AC Milan,Salernitana,Serie A,2:0,"['1.24', '6.15', '12.03']",2021-12-04
AS Roma,Inter,Serie A,0:3,"['3.74', '3.66', '1.94']",2021-12-04
Napoli,Atalanta,Serie A,2:3,"['2.66', '3.42', '2.58']",2021-12-04
Lazio,Udinese,Serie A,4:4,"['1.63', '3.85', '5.50']",2021-12-02
Torino,Empoli,Serie A,2:2,"['1.76', '3.65', '4.68']",2021-12-02
Sassuolo,Napoli,Serie A,2:2,"['4.09', '3.82', '1.84']",2021-12-01
Genoa,AC Milan,Serie A,0:3,"['6.08', '4.14', '1.55']",2021-12-01
Inter,Spezia,Serie A,2:0,"['1.15', '8.45', '16.28']",2021-12-01
Bologna,AS Roma,Serie A,1:0,"['2.91', '3.32', '2.45']",2021-12-01
Atalanta,Venezia,Serie A,4:0,"['1.25', '5.85', '11.46']",2021-11-30
Fiorentina,Sampdoria,Serie A,3:1,"['1.74', '3.74', '4.76']",2021-11-30
Salernitana,Juventus,Serie A,0:2,"['9.05', '4.89', '1.35']",2021-11-30
Verona,Cagliari,Serie A,0:0,"['1.53', '4.18', '6.08']",2021-11-30
AC Milan,Sassuolo,Serie A,1:3,"['1.46', '4.76', '6.38']",2021-11-28
AS Roma,Torino,Serie A,1:0,"['1.76', '3.76', '4.51']",2021-11-28
Spezia,Bologna,Serie A,0:1,"['3.17', '3.32', '2.29']",2021-11-28
Udinese,Genoa,Serie A,0:0,"['1.67', '3.73', '5.41']",2021-11-28
Napoli,Lazio,Serie A,4:0,"['1.83', '3.72', '4.16']",2021-11-28
Empoli,Fiorentina,Serie A,2:1,"['3.76', '3.65', '1.94']",2021-11-27
Juventus,Atalanta,Serie A,0:1,"['2.07', '3.53', '3.52']",2021-11-27
Sampdoria,Verona,Serie A,3:1,"['2.84', '3.34', '2.47']",2021-11-27
Venezia,Inter,Serie A,0:2,"['8.80', '5.10', '1.34']",2021-11-27
Cagliari,Salernitana,Serie A,1:1,"['1.82', '3.46', '4.57']",2021-11-26
Torino,Udinese,Serie A,2:1,"['2.11', '3.19', '3.77']",2021-11-22
Verona,Empoli,Serie A,2:1,"['1.72', '3.80', '4.72']",2021-11-22
Bologna,Venezia,Serie A,0:1,"['1.66', '3.83', '5.28']",2021-11-21
Genoa,AS Roma,Serie A,0:2,"['4.33', '3.91', '1.76']",2021-11-21
Inter,Napoli,Serie A,3:2,"['2.23', '3.40', '3.25']",2021-11-21
Salernitana,Sampdoria,Serie A,0:2,"['2.85', '3.26', '2.50']",2021-11-21
Sassuolo,Cagliari,Serie A,2:2,"['1.57', '4.33', '5.30']",2021-11-21
Atalanta,Spezia,Serie A,5:2,"['1.25', '6.29', '10.64']",2021-11-20
Fiorentina,AC Milan,Serie A,4:3,"['2.93', '3.32', '2.43']",2021-11-20
Lazio,Juventus,Serie A,0:2,"['2.92', '3.23', '2.47']",2021-11-20
AC Milan,Inter,Serie A,1:1,"['3.44', '3.46', '2.11']",2021-11-07
Napoli,Verona,Serie A,1:1,"['1.42', '4.73', '7.20']",2021-11-07
Sampdoria,Bologna,Serie A,1:2,"['2.69', '3.26', '2.64']",2021-11-07
Udinese,Sassuolo,Serie A,3:2,"['2.21', '3.42', '3.23']",2021-11-07
Venezia,AS Roma,Serie A,3:2,"['5.21', '3.83', '1.66']",2021-11-07
Lazio,Salernitana,Serie A,3:0,"['1.29', '5.71', '9.74']",2021-11-07
Cagliari,Atalanta,Serie A,1:2,"['6.28', '4.55', '1.48']",2021-11-06
Juventus,Fiorentina,Serie A,1:0,"['1.67', '3.74', '5.38']",2021-11-06
Spezia,Torino,Serie A,1:0,"['3.40', '3.39', '2.16']",2021-11-06
Empoli,Genoa,Serie A,2:2,"['2.13', '3.46', '3.36']",2021-11-05
