homeTeam,awayTeam,league,result,odds,date
Benevento,Sassuolo,Serie A,0:1,"['3.16', '3.34', '2.31']",2021-04-12
Verona,Lazio,Serie A,0:1,"['3.61', '3.39', '2.10']",2021-04-11
Inter,Cagliari,Serie A,1:0,"['1.28', '5.78', '11.10']",2021-04-11
Sampdoria,Napoli,Serie A,0:2,"['5.25', '4.09', '1.63']",2021-04-11
Juventus,Genoa,Serie A,3:1,"['1.23', '6.29', '12.65']",2021-04-11
Fiorentina,Atalanta,Serie A,2:3,"['6.05', '4.53', '1.51']",2021-04-11
AS Roma,Bologna,Serie A,1:0,"['1.92', '3.73', '3.84']",2021-04-11
Parma,AC Milan,Serie A,1:3,"['4.78', '3.83', '1.73']",2021-04-10
Spezia,Crotone,Serie A,3:2,"['1.86', '3.80', '4.04']",2021-04-10
Udinese,Torino,Serie A,0:1,"['2.29', '3.26', '3.27']",2021-04-10
Inter,Sassuolo,Serie A,2:1,"['1.30', '5.74', '9.33']",2021-04-07
Juventus,Napoli,Serie A,2:1,"['1.96', '3.64', '3.75']",2021-04-07
Bologna,Inter,Serie A,0:1,"['6.98', '4.65', '1.44']",2021-04-03
Napoli,Crotone,Serie A,4:3,"['1.22', '6.47', '12.58']",2021-04-03
Lazio,Spezia,Serie A,2:1,"['1.50', '4.40', '6.47']",2021-04-03
Genoa,Fiorentina,Serie A,1:1,"['3.49', '2.98', '2.33']",2021-04-03
Cagliari,Verona,Serie A,0:2,"['2.75', '3.21', '2.65']",2021-04-03
Sassuolo,AS Roma,Serie A,2:2,"['4.23', '4.22', '1.73']",2021-04-03
Benevento,Parma,Serie A,2:2,"['2.82', '3.27', '2.55']",2021-04-03
Atalanta,Udinese,Serie A,3:2,"['1.44', '4.48', '7.38']",2021-04-03
AC Milan,Sampdoria,Serie A,1:1,"['1.49', '4.43', '6.51']",2021-04-03
Torino,Juventus,Serie A,2:2,"['6.43', '4.41', '1.49']",2021-04-03
Verona,Atalanta,Serie A,0:2,"['4.85', '3.85', '1.71']",2021-03-21
Juventus,Benevento,Serie A,0:1,"['1.16', '7.97', '16.25']",2021-03-21
Sampdoria,Torino,Serie A,1:0,"['2.56', '3.26', '2.84']",2021-03-21
Udinese,Lazio,Serie A,0:1,"['3.83', '3.35', '2.03']",2021-03-21
Fiorentina,AC Milan,Serie A,2:3,"['3.77', '3.51', '1.99']",2021-03-21
AS Roma,Napoli,Serie A,0:2,"['2.50', '3.39', '2.80']",2021-03-21
Spezia,Cagliari,Serie A,2:1,"['2.77', '3.12', '2.69']",2021-03-20
Crotone,Bologna,Serie A,2:3,"['4.29', '3.81', '1.80']",2021-03-20
Parma,Genoa,Serie A,1:2,"['2.52', '3.11', '3.02']",2021-03-19
Torino,Sassuolo,Serie A,3:2,"['2.53', '3.28', '2.84']",2021-03-17
Bologna,Sampdoria,Serie A,3:1,"['2.23', '3.38', '3.24']",2021-03-14
Cagliari,Juventus,Serie A,1:3,"['6.77', '4.52', '1.47']",2021-03-14
Parma,AS Roma,Serie A,2:0,"['5.49', '4.17', '1.59']",2021-03-14
Torino,Inter,Serie A,1:2,"['9.82', '5.32', '1.31']",2021-03-14
AC Milan,Napoli,Serie A,0:1,"['2.85', '3.29', '2.51']",2021-03-14
Benevento,Fiorentina,Serie A,1:4,"['3.62', '3.23', '2.15']",2021-03-13
Genoa,Udinese,Serie A,1:1,"['3.37', '2.93', '2.40']",2021-03-13
Sassuolo,Verona,Serie A,3:2,"['2.46', '3.25', '2.96']",2021-03-13
Atalanta,Spezia,Serie A,3:1,"['1.28', '5.93', '9.66']",2021-03-12
Lazio,Crotone,Serie A,3:2,"['1.28', '5.77', '10.28']",2021-03-12
Inter,Atalanta,Serie A,1:0,"['2.00', '3.53', '3.73']",2021-03-08
Crotone,Torino,Serie A,4:2,"['3.32', '3.35', '2.21']",2021-03-07
Fiorentina,Parma,Serie A,3:3,"['1.95', '3.31', '4.21']",2021-03-07
Napoli,Bologna,Serie A,3:1,"['1.49', '4.42', '6.48']",2021-03-07
Sampdoria,Cagliari,Serie A,2:2,"['2.17', '3.34', '3.43']",2021-03-07
Verona,AC Milan,Serie A,0:2,"['2.95', '3.20', '2.49']",2021-03-07
AS Roma,Genoa,Serie A,1:0,"['1.43', '4.63', '7.40']",2021-03-07
Juventus,Lazio,Serie A,3:1,"['1.88', '3.66', '4.07']",2021-03-06
Spezia,Benevento,Serie A,1:1,"['2.22', '3.32', '3.34']",2021-03-06
Udinese,Sassuolo,Serie A,2:0,"['2.31', '3.24', '3.20']",2021-03-06
Parma,Inter,Serie A,1:2,"['11.08', '6.06', '1.25']",2021-03-04
Atalanta,Crotone,Serie A,5:1,"['1.14', '8.17', '19.03']",2021-03-03
Genoa,Sampdoria,Serie A,1:1,"['3.02', '3.08', '2.51']",2021-03-03
Benevento,Verona,Serie A,0:3,"['3.27', '3.24', '2.28']",2021-03-03
Sassuolo,Napoli,Serie A,3:3,"['3.38', '3.55', '2.11']",2021-03-03
AC Milan,Udinese,Serie A,1:1,"['1.77', '3.47', '5.01']",2021-03-03
Fiorentina,AS Roma,Serie A,1:2,"['3.92', '3.53', '1.95']",2021-03-03
Cagliari,Bologna,Serie A,1:0,"['2.62', '3.26', '2.75']",2021-03-03
Juventus,Spezia,Serie A,3:0,"['1.24', '6.14', '12.09']",2021-03-02
Napoli,Benevento,Serie A,2:0,"['1.36', '4.96', '8.71']",2021-02-28
Udinese,Fiorentina,Serie A,1:0,"['2.72', '3.01', '2.84']",2021-02-28
Sampdoria,Atalanta,Serie A,0:2,"['5.79', '4.37', '1.53']",2021-02-28
Inter,Genoa,Serie A,3:0,"['1.19', '6.78', '15.06']",2021-02-28
Crotone,Cagliari,Serie A,0:2,"['3.31', '3.48', '2.16']",2021-02-28
AS Roma,AC Milan,Serie A,1:2,"['2.31', '3.50', '3.00']",2021-02-28
Spezia,Parma,Serie A,2:2,"['2.34', '3.22', '3.19']",2021-02-27
Verona,Juventus,Serie A,1:1,"['5.91', '4.11', '1.56']",2021-02-27
Bologna,Lazio,Serie A,2:0,"['4.39', '3.83', '1.78']",2021-02-27
Juventus,Crotone,Serie A,3:0,"['1.15', '7.82', '17.37']",2021-02-22
AC Milan,Inter,Serie A,0:3,"['4.15', '3.71', '1.85']",2021-02-21
Atalanta,Napoli,Serie A,4:2,"['1.70', '3.89', '4.82']",2021-02-21
Benevento,AS Roma,Serie A,0:0,"['5.91', '4.53', '1.50']",2021-02-21
Parma,Udinese,Serie A,2:2,"['3.75', '3.20', '2.12']",2021-02-21
Sassuolo,Bologna,Serie A,1:1,"['2.27', '3.47', '3.09']",2021-02-20
Lazio,Sampdoria,Serie A,1:0,"['1.58', '4.02', '5.88']",2021-02-20
Genoa,Verona,Serie A,2:2,"['2.79', '2.99', '2.77']",2021-02-20
Fiorentina,Spezia,Serie A,3:0,"['1.99', '3.34', '4.01']",2021-02-19
Cagliari,Torino,Serie A,0:1,"['2.81', '3.21', '2.59']",2021-02-19
Verona,Parma,Serie A,2:1,"['2.31', '3.14', '3.31']",2021-02-15
AS Roma,Udinese,Serie A,3:0,"['1.75', '3.74', '4.75']",2021-02-14
Cagliari,Atalanta,Serie A,0:1,"['6.59', '4.67', '1.46']",2021-02-14
Crotone,Sassuolo,Serie A,1:2,"['3.79', '3.63', '1.96']",2021-02-14
Inter,Lazio,Serie A,3:1,"['1.65', '3.89', '5.27']",2021-02-14
Sampdoria,Fiorentina,Serie A,2:1,"['2.84', '3.18', '2.58']",2021-02-14
Napoli,Juventus,Serie A,1:0,"['3.40', '3.38', '2.16']",2021-02-13
Spezia,AC Milan,Serie A,2:0,"['6.21', '4.40', '1.51']",2021-02-13
Torino,Genoa,Serie A,0:0,"['2.00', '3.26', '4.07']",2021-02-13
Bologna,Benevento,Serie A,1:1,"['1.93', '3.56', '3.97']",2021-02-12
Parma,Bologna,Serie A,0:3,"['3.03', '3.19', '2.44']",2021-02-07
Udinese,Verona,Serie A,2:0,"['2.69', '2.99', '2.89']",2021-02-07
AC Milan,Crotone,Serie A,4:0,"['1.20', '6.74', '13.64']",2021-02-07
Lazio,Cagliari,Serie A,1:0,"['1.44', '4.76', '6.89']",2021-02-07
Benevento,Sampdoria,Serie A,1:1,"['2.82', '3.42', '2.46']",2021-02-07
Atalanta,Torino,Serie A,3:3,"['1.45', '4.61', '6.85']",2021-02-06
Genoa,Napoli,Serie A,2:1,"['4.56', '3.57', '1.80']",2021-02-06
Juventus,AS Roma,Serie A,2:0,"['1.64', '4.12', '4.99']",2021-02-06
Sassuolo,Spezia,Serie A,1:2,"['1.79', '3.68', '4.55']",2021-02-06
Fiorentina,Inter,Serie A,0:2,"['7.03', '4.41', '1.46']",2021-02-05
Spezia,Udinese,Serie A,0:1,"['3.95', '3.43', '1.97']",2021-01-31
Napoli,Parma,Serie A,2:0,"['1.31', '5.40', '9.49']",2021-01-31
Crotone,Genoa,Serie A,0:3,"['2.76', '3.14', '2.68']",2021-01-31
Cagliari,Sassuolo,Serie A,1:1,"['2.73', '3.56', '2.47']",2021-01-31
AS Roma,Verona,Serie A,3:1,"['1.64', '3.95', '5.33']",2021-01-31
Atalanta,Lazio,Serie A,1:3,"['1.93', '3.69', '3.83']",2021-01-31
Bologna,AC Milan,Serie A,1:2,"['3.75', '3.73', '1.94']",2021-01-30
Inter,Benevento,Serie A,4:0,"['1.19', '7.45', '13.08']",2021-01-30
Sampdoria,Juventus,Serie A,0:2,"['7.04', '4.71', '1.43']",2021-01-30
Torino,Fiorentina,Serie A,1:1,"['2.77', '3.14', '2.68']",2021-01-29
Genoa,Cagliari,Serie A,1:0,"['2.37', '3.35', '3.01']",2021-01-24
Juventus,Bologna,Serie A,2:0,"['1.37', '5.07', '7.92']",2021-01-24
Lazio,Sassuolo,Serie A,2:1,"['1.64', '4.03', '5.13']",2021-01-24
Parma,Sampdoria,Serie A,0:2,"['3.09', '3.38', '2.31']",2021-01-24
Verona,Napoli,Serie A,3:1,"['4.12', '3.53', '1.90']",2021-01-24
Udinese,Inter,Serie A,0:0,"['5.33', '3.86', '1.65']",2021-01-23
AS Roma,Spezia,Serie A,4:3,"['1.45', '4.76', '6.45']",2021-01-23
Fiorentina,Crotone,Serie A,2:1,"['1.64', '3.85', '5.50']",2021-01-23
AC Milan,Atalanta,Serie A,0:3,"['3.30', '3.53', '2.15']",2021-01-23
Benevento,Torino,Serie A,2:2,"['3.09', '3.24', '2.39']",2021-01-22
Udinese,Atalanta,Serie A,1:1,"['3.75', '3.49', '2.01']",2021-01-20
Cagliari,AC Milan,Serie A,0:2,"['5.41', '3.99', '1.63']",2021-01-18
Atalanta,Genoa,Serie A,0:0,"['1.20', '7.14', '13.56']",2021-01-17
Crotone,Benevento,Serie A,4:1,"['2.67', '3.28', '2.68']",2021-01-17
Inter,Juventus,Serie A,2:0,"['2.35', '3.34', '3.06']",2021-01-17
Napoli,Fiorentina,Serie A,6:0,"['1.60', '4.00', '5.70']",2021-01-17
Sassuolo,Parma,Serie A,1:1,"['1.73', '3.91', '4.59']",2021-01-17
Torino,Spezia,Serie A,0:0,"['2.03', '3.32', '3.88']",2021-01-16
Bologna,Verona,Serie A,1:0,"['2.26', '3.28', '3.30']",2021-01-16
Sampdoria,Udinese,Serie A,2:1,"['2.90', '3.23', '2.51']",2021-01-16
Lazio,AS Roma,Serie A,3:0,"['2.89', '3.45', '2.41']",2021-01-15
Spezia,Sampdoria,Serie A,2:1,"['3.23', '3.42', '2.22']",2021-01-11
AS Roma,Inter,Serie A,2:2,"['2.81', '3.48', '2.44']",2021-01-10
Fiorentina,Cagliari,Serie A,1:0,"['1.76', '3.68', '4.73']",2021-01-10
Juventus,Sassuolo,Serie A,3:1,"['1.36', '5.14', '7.86']",2021-01-10
Parma,Lazio,Serie A,0:2,"['5.06', '3.99', '1.66']",2021-01-10
Udinese,Napoli,Serie A,1:2,"['4.18', '3.38', '1.94']",2021-01-10
Verona,Crotone,Serie A,2:1,"['1.78', '3.61', '4.62']",2021-01-10
AC Milan,Torino,Serie A,2:0,"['1.65', '3.84', '5.38']",2021-01-09
Benevento,Atalanta,Serie A,1:4,"['7.87', '5.04', '1.37']",2021-01-09
Genoa,Bologna,Serie A,2:0,"['2.91', '3.29', '2.46']",2021-01-09
Lazio,Fiorentina,Serie A,2:1,"['1.81', '3.59', '4.54']",2021-01-06
Torino,Verona,Serie A,1:1,"['2.51', '3.05', '3.07']",2021-01-06
Sassuolo,Genoa,Serie A,2:1,"['1.75', '3.85', '4.53']",2021-01-06
Sampdoria,Inter,Serie A,2:1,"['6.59', '4.49', '1.47']",2021-01-06
Napoli,Spezia,Serie A,1:2,"['1.28', '5.89', '9.81']",2021-01-06
Cagliari,Benevento,Serie A,1:2,"['2.72', '3.45', '2.53']",2021-01-06
Bologna,Udinese,Serie A,2:2,"['2.78', '3.14', '2.65']",2021-01-06
Crotone,AS Roma,Serie A,1:3,"['5.68', '4.18', '1.56']",2021-01-06
Atalanta,Parma,Serie A,3:0,"['1.23', '6.75', '11.16']",2021-01-06
AC Milan,Juventus,Serie A,1:3,"['3.37', '3.31', '2.20']",2021-01-06
Genoa,Lazio,Serie A,1:1,"['5.44', '3.94', '1.64']",2021-01-03
AS Roma,Sampdoria,Serie A,1:0,"['1.60', '4.29', '5.26']",2021-01-03
Atalanta,Sassuolo,Serie A,5:1,"['1.53', '4.60', '5.60']",2021-01-03
Benevento,AC Milan,Serie A,0:2,"['4.76', '3.94', '1.70']",2021-01-03
Cagliari,Napoli,Serie A,1:4,"['6.55', '4.57', '1.46']",2021-01-03
Fiorentina,Bologna,Serie A,0:0,"['2.36', '3.31', '3.06']",2021-01-03
Inter,Crotone,Serie A,6:2,"['1.17', '7.66', '14.45']",2021-01-03
Juventus,Udinese,Serie A,4:1,"['1.45', '4.41', '7.34']",2021-01-03
Parma,Torino,Serie A,0:3,"['3.17', '3.12', '2.39']",2021-01-03
Spezia,Verona,Serie A,0:1,"['3.34', '3.39', '2.18']",2021-01-03
Verona,Inter,Serie A,1:2,"['6.26', '4.05', '1.55']",2020-12-23
Spezia,Genoa,Serie A,1:2,"['2.14', '3.28', '3.59']",2020-12-23
Udinese,Benevento,Serie A,0:2,"['1.75', '3.52', '5.12']",2020-12-23
AS Roma,Cagliari,Serie A,3:2,"['1.41', '4.98', '6.94']",2020-12-23
Sampdoria,Sassuolo,Serie A,2:3,"['2.63', '3.43', '2.62']",2020-12-23
Napoli,Torino,Serie A,1:1,"['1.50', '4.43', '6.32']",2020-12-23
AC Milan,Lazio,Serie A,3:2,"['2.09', '3.56', '3.41']",2020-12-23
Bologna,Atalanta,Serie A,2:2,"['5.46', '4.62', '1.54']",2020-12-23
Juventus,Fiorentina,Serie A,0:3,"['1.35', '5.24', '8.36']",2020-12-22
Crotone,Parma,Serie A,2:1,"['2.77', '3.26', '2.59']",2020-12-22
Benevento,Genoa,Serie A,2:0,"['1.98', '3.52', '3.80']",2020-12-20
Inter,Spezia,Serie A,2:1,"['1.20', '7.12', '13.17']",2020-12-20
Lazio,Napoli,Serie A,2:0,"['3.47', '3.39', '2.13']",2020-12-20
Sassuolo,AC Milan,Serie A,1:2,"['3.96', '3.97', '1.83']",2020-12-20
Torino,Bologna,Serie A,1:1,"['2.53', '3.40', '2.75']",2020-12-20
Cagliari,Udinese,Serie A,1:1,"['3.45', '3.33', '2.16']",2020-12-20
Atalanta,AS Roma,Serie A,4:1,"['2.32', '3.50', '2.96']",2020-12-20
Sampdoria,Crotone,Serie A,3:1,"['1.89', '3.54', '4.16']",2020-12-19
Parma,Juventus,Serie A,0:4,"['8.62', '5.07', '1.35']",2020-12-19
Fiorentina,Verona,Serie A,1:1,"['2.43', '3.17', '3.07']",2020-12-19
AS Roma,Torino,Serie A,3:1,"['1.29', '5.93', '9.09']",2020-12-17
Fiorentina,Sassuolo,Serie A,1:1,"['2.39', '3.44', '2.91']",2020-12-16
Genoa,AC Milan,Serie A,2:2,"['6.04', '4.29', '1.53']",2020-12-16
Inter,Napoli,Serie A,1:0,"['2.20', '3.25', '3.44']",2020-12-16
Juventus,Atalanta,Serie A,1:1,"['1.85', '3.75', '4.10']",2020-12-16
Parma,Cagliari,Serie A,0:0,"['2.38', '3.43', '2.92']",2020-12-16
Spezia,Bologna,Serie A,2:2,"['2.88', '3.47', '2.40']",2020-12-16
Verona,Sampdoria,Serie A,1:2,"['2.16', '3.36', '3.41']",2020-12-16
Udinese,Crotone,Serie A,0:0,"['1.67', '3.76', '5.40']",2020-12-15
Benevento,Lazio,Serie A,1:1,"['4.27', '3.73', '1.81']",2020-12-15
AC Milan,Parma,Serie A,2:2,"['1.32', '5.42', '9.11']",2020-12-13
Genoa,Juventus,Serie A,1:3,"['10.57', '5.47', '1.29']",2020-12-13
Napoli,Sampdoria,Serie A,2:1,"['1.38', '5.05', '7.78']",2020-12-13
Atalanta,Fiorentina,Serie A,3:0,"['1.58', '4.06', '5.75']",2020-12-13
Cagliari,Inter,Serie A,1:3,"['8.24', '5.33', '1.35']",2020-12-13
Bologna,AS Roma,Serie A,1:5,"['3.91', '4.11', '1.81']",2020-12-13
Crotone,Spezia,Serie A,4:1,"['2.49', '3.26', '2.89']",2020-12-12
Lazio,Verona,Serie A,1:2,"['1.76', '3.70', '4.71']",2020-12-12
Torino,Udinese,Serie A,2:3,"['2.76', '3.10', '2.73']",2020-12-12
Sassuolo,Benevento,Serie A,1:0,"['1.70', '4.06', '4.62']",2020-12-11
Fiorentina,Genoa,Serie A,1:1,"['1.64', '3.89', '5.37']",2020-12-07
Verona,Cagliari,Serie A,1:1,"['1.76', '3.84', '4.46']",2020-12-06
Sampdoria,AC Milan,Serie A,1:2,"['4.35', '3.94', '1.76']",2020-12-06
Parma,Benevento,Serie A,0:0,"['2.27', '3.50', '3.04']",2020-12-06
AS Roma,Sassuolo,Serie A,0:0,"['1.62', '4.47', '4.71']",2020-12-06
Crotone,Napoli,Serie A,0:4,"['7.44', '4.88', '1.40']",2020-12-06
Inter,Bologna,Serie A,3:1,"['1.45', '4.76', '6.53']",2020-12-05
Juventus,Torino,Serie A,2:1,"['1.32', '5.41', '9.30']",2020-12-05
Spezia,Lazio,Serie A,1:2,"['5.27', '4.02', '1.63']",2020-12-05
Genoa,Parma,Serie A,1:2,"['2.43', '3.19', '3.07']",2020-11-30
Torino,Sampdoria,Serie A,2:2,"['2.65', '3.21', '2.73']",2020-11-30
Lazio,Udinese,Serie A,1:3,"['1.71', '3.73', '5.02']",2020-11-29
Napoli,AS Roma,Serie A,4:0,"['1.99', '3.72', '3.56']",2020-11-29
Cagliari,Spezia,Serie A,2:2,"['2.22', '3.39', '3.26']",2020-11-29
Bologna,Crotone,Serie A,1:0,"['1.61', '4.27', '5.10']",2020-11-29
AC Milan,Fiorentina,Serie A,2:0,"['1.68', '3.82', '5.15']",2020-11-29
Benevento,Juventus,Serie A,1:1,"['7.80', '4.92', '1.38']",2020-11-28
Sassuolo,Inter,Serie A,0:3,"['4.42', '4.18', '1.71']",2020-11-28
Atalanta,Verona,Serie A,0:2,"['1.42', '4.93', '6.75']",2020-11-28
AS Roma,Parma,Serie A,3:0,"['1.39', '5.22', '7.05']",2020-11-22
Fiorentina,Benevento,Serie A,0:1,"['1.46', '4.64', '6.45']",2020-11-22
Inter,Torino,Serie A,4:2,"['1.28', '6.09', '9.38']",2020-11-22
Napoli,AC Milan,Serie A,1:3,"['2.11', '3.42', '3.49']",2020-11-22
Udinese,Genoa,Serie A,1:0,"['1.85', '3.55', '4.34']",2020-11-22
Verona,Sassuolo,Serie A,0:2,"['3.57', '3.86', '1.95']",2020-11-22
Sampdoria,Bologna,Serie A,1:2,"['2.60', '3.36', '2.68']",2020-11-22
Crotone,Lazio,Serie A,0:2,"['5.05', '3.99', '1.66']",2020-11-21
Juventus,Cagliari,Serie A,2:0,"['1.24', '6.34', '11.23']",2020-11-21
Spezia,Atalanta,Serie A,0:0,"['7.94', '5.57', '1.34']",2020-11-21
Lazio,Juventus,Serie A,1:1,"['3.82', '3.71', '1.93']",2020-11-08
Torino,Crotone,Serie A,0:0,"['1.84', '3.84', '4.01']",2020-11-08
Bologna,Napoli,Serie A,0:1,"['4.71', '4.16', '1.67']",2020-11-08
Genoa,AS Roma,Serie A,1:3,"['5.38', '4.34', '1.57']",2020-11-08
AC Milan,Verona,Serie A,2:2,"['1.32', '5.40', '9.04']",2020-11-08
Atalanta,Inter,Serie A,1:1,"['2.81', '3.77', '2.32']",2020-11-08
Cagliari,Sampdoria,Serie A,2:0,"['2.87', '3.39', '2.45']",2020-11-07
Benevento,Spezia,Serie A,0:3,"['2.09', '3.58', '3.37']",2020-11-07
Parma,Fiorentina,Serie A,0:0,"['3.50', '3.56', '2.06']",2020-11-07
Sassuolo,Udinese,Serie A,0:0,"['2.31', '3.58', '2.94']",2020-11-06
Genoa,Torino,Serie A,1:2,"['2.68', '3.17', '2.74']",2020-11-04
Verona,Benevento,Serie A,3:1,"['2.23', '3.55', '3.10']",2020-11-02
Spezia,Juventus,Serie A,1:4,"['7.45', '4.79', '1.41']",2020-11-01
Udinese,AC Milan,Serie A,1:2,"['4.12', '3.51', '1.91']",2020-11-01
Torino,Lazio,Serie A,3:4,"['2.98', '3.46', '2.33']",2020-11-01
Sampdoria,Genoa,Serie A,1:1,"['1.87', '3.57', '4.23']",2020-11-01
Napoli,Sassuolo,Serie A,0:2,"['1.41', '4.90', '7.14']",2020-11-01
AS Roma,Fiorentina,Serie A,2:0,"['1.72', '4.12', '4.37']",2020-11-01
Crotone,Atalanta,Serie A,1:2,"['5.47', '4.55', '1.53']",2020-10-31
Inter,Parma,Serie A,2:2,"['1.31', '5.63', '9.04']",2020-10-31
Bologna,Cagliari,Serie A,3:2,"['1.88', '3.89', '3.80']",2020-10-31
AC Milan,AS Roma,Serie A,3:3,"['2.18', '3.69', '3.09']",2020-10-26
Benevento,Napoli,Serie A,1:2,"['10.42', '6.12', '1.26']",2020-10-25
Cagliari,Crotone,Serie A,4:2,"['2.23', '3.44', '3.19']",2020-10-25
Fiorentina,Udinese,Serie A,3:2,"['1.95', '3.54', '3.88']",2020-10-25
Juventus,Verona,Serie A,1:1,"['1.38', '4.84', '8.19']",2020-10-25
Parma,Spezia,Serie A,2:2,"['1.95', '3.58', '3.76']",2020-10-25
Lazio,Bologna,Serie A,2:1,"['1.66', '4.27', '4.62']",2020-10-24
Atalanta,Sampdoria,Serie A,1:3,"['1.55', '4.59', '5.31']",2020-10-24
Genoa,Inter,Serie A,0:2,"['8.24', '5.40', '1.34']",2020-10-24
Sassuolo,Torino,Serie A,3:3,"['1.66', '4.30', '4.61']",2020-10-23
Verona,Genoa,Serie A,0:0,"['2.26', '3.41', '3.13']",2020-10-19
Torino,Cagliari,Serie A,2:3,"['2.20', '3.43', '3.28']",2020-10-18
Udinese,Parma,Serie A,3:2,"['1.97', '3.42', '3.94']",2020-10-18
Spezia,Fiorentina,Serie A,2:2,"['6.63', '4.49', '1.47']",2020-10-18
Bologna,Sassuolo,Serie A,3:4,"['2.44', '3.49', '2.80']",2020-10-18
AS Roma,Benevento,Serie A,5:2,"['1.36', '5.30', '7.75']",2020-10-18
Crotone,Juventus,Serie A,1:1,"['6.04', '4.02', '1.56']",2020-10-17
Inter,AC Milan,Serie A,1:2,"['2.09', '3.55', '3.42']",2020-10-17
Napoli,Atalanta,Serie A,4:1,"['2.30', '3.59', '2.94']",2020-10-17
Sampdoria,Lazio,Serie A,3:0,"['3.51', '3.60', '2.04']",2020-10-17
AC Milan,Spezia,Serie A,3:0,"['1.37', '4.88', '8.50']",2020-10-04
Atalanta,Cagliari,Serie A,5:2,"['1.27', '6.29', '9.68']",2020-10-04
Benevento,Bologna,Serie A,1:0,"['2.91', '3.55', '2.34']",2020-10-04
Lazio,Inter,Serie A,1:1,"['2.95', '3.64', '2.29']",2020-10-04
Parma,Verona,Serie A,1:0,"['2.32', '3.24', '3.19']",2020-10-04
Sassuolo,Crotone,Serie A,4:1,"['1.50', '4.59', '5.92']",2020-10-03
Udinese,AS Roma,Serie A,0:1,"['4.13', '3.61', '1.87']",2020-10-03
Fiorentina,Sampdoria,Serie A,1:2,"['1.73', '3.96', '4.53']",2020-10-02
Udinese,Spezia,Serie A,0:2,"['1.80', '3.48', '4.79']",2020-09-30
Lazio,Atalanta,Serie A,1:4,"['2.56', '3.61', '2.59']",2020-09-30
Benevento,Inter,Serie A,2:5,"['8.94', '5.48', '1.32']",2020-09-30
Bologna,Parma,Serie A,4:1,"['1.95', '3.68', '3.76']",2020-09-28
AS Roma,Juventus,Serie A,2:2,"['3.32', '3.51', '2.15']",2020-09-27
Crotone,AC Milan,Serie A,0:2,"['5.56', '4.06', '1.60']",2020-09-27
Napoli,Genoa,Serie A,6:0,"['1.23', '6.44', '12.49']",2020-09-27
Spezia,Sassuolo,Serie A,1:4,"['4.55', '3.78', '1.76']",2020-09-27
Verona,Udinese,Serie A,1:0,"['2.58', '3.03', '2.97']",2020-09-27
Cagliari,Lazio,Serie A,0:2,"['5.82', '4.19', '1.55']",2020-09-26
Sampdoria,Benevento,Serie A,2:3,"['1.72', '3.77', '4.87']",2020-09-26
Torino,Atalanta,Serie A,2:4,"['5.00', '4.21', '1.62']",2020-09-26
Inter,Fiorentina,Serie A,4:3,"['1.52', '4.33', '6.10']",2020-09-26
AC Milan,Bologna,Serie A,2:0,"['1.47', '4.65', '6.41']",2020-09-21
Genoa,Crotone,Serie A,4:1,"['2.45', '3.22', '3.03']",2020-09-20
Juventus,Sampdoria,Serie A,3:0,"['1.42', '4.57', '7.92']",2020-09-20
Parma,Napoli,Serie A,0:2,"['6.79', '4.52', '1.47']",2020-09-20
Sassuolo,Cagliari,Serie A,1:1,"['1.67', '4.17', '4.80']",2020-09-20
Fiorentina,Torino,Serie A,1:0,"['1.84', '3.73', '4.19']",2020-09-19
Verona,AS Roma,Serie A,3:0 ,"['4.53', '3.86', '1.76']",2020-09-19
Sassuolo,Udinese,Serie A,0:1,"['1.85', '4.15', '3.75']",2020-08-02
Spal,Fiorentina,Serie A,1:3,"['7.04', '4.91', '1.42']",2020-08-02
Bologna,Torino,Serie A,1:1,"['1.82', '4.16', '3.85']",2020-08-02
Lecce,Parma,Serie A,3:4,"['1.54', '4.86', '5.05']",2020-08-02
Genoa,Verona,Serie A,3:0,"['1.67', '4.27', '4.62']",2020-08-02
AC Milan,Cagliari,Serie A,3:0,"['1.25', '6.38', '10.55']",2020-08-01
Atalanta,Inter,Serie A,0:2,"['2.59', '3.68', '2.54']",2020-08-01
Brescia,Sampdoria,Serie A,1:1,"['3.68', '3.95', '1.90']",2020-08-01
Juventus,AS Roma,Serie A,1:3,"['2.27', '3.70', '2.93']",2020-08-01
Napoli,Lazio,Serie A,3:1,"['2.06', '3.82', '3.27']",2020-08-01
Sassuolo,Genoa,Serie A,5:0,"['2.19', '3.49', '3.26']",2020-07-29
Udinese,Lecce,Serie A,1:2,"['2.35', '3.67', '2.84']",2020-07-29
Torino,AS Roma,Serie A,2:3,"['8.59', '5.75', '1.32']",2020-07-29
Verona,Spal,Serie A,3:0,"['1.57', '4.29', '5.54']",2020-07-29
Sampdoria,AC Milan,Serie A,1:4,"['8.23', '5.20', '1.36']",2020-07-29
Cagliari,Juventus,Serie A,2:0,"['6.32', '4.47', '1.49']",2020-07-29
Fiorentina,Bologna,Serie A,4:0,"['1.94', '3.84', '3.65']",2020-07-29
Lazio,Brescia,Serie A,2:0,"['1.08', '11.60', '23.87']",2020-07-29
Parma,Atalanta,Serie A,1:2,"['7.56', '5.40', '1.37']",2020-07-28
Inter,Napoli,Serie A,2:0,"['2.08', '3.60', '3.44']",2020-07-28
AS Roma,Fiorentina,Serie A,2:1,"['1.50', '4.59', '5.91']",2020-07-26
