homeTeam,awayTeam,league,result,odds,date
Southampton,Fulham,Premier League,3:1,"['1.85', '3.73', '4.23']",2021-05-15
Brighton,West Ham,Premier League,1:1,"['3.47', '3.53', '2.11']",2021-05-15
Newcastle,Manchester City,Premier League,3:4,"['8.77', '5.72', '1.33']",2021-05-14
Manchester Utd,Liverpool,Premier League,2:4,"['2.78', '3.73', '2.41']",2021-05-13
Aston Villa,Everton,Premier League,0:0,"['3.05', '3.32', '2.43']",2021-05-13
Chelsea,Arsenal,Premier League,0:1,"['1.94', '3.39', '4.29']",2021-05-12
Manchester Utd,Leicester,Premier League,1:2,"['3.73', '3.55', '2.04']",2021-05-11
Southampton,Crystal Palace,Premier League,3:1,"['1.87', '3.78', '4.08']",2021-05-11
Fulham,Burnley,Premier League,0:2,"['2.22', '3.40', '3.35']",2021-05-10
Arsenal,West Brom,Premier League,3:1,"['1.49', '4.51', '6.71']",2021-05-09
Aston Villa,Manchester Utd,Premier League,1:3,"['4.42', '3.95', '1.77']",2021-05-09
West Ham,Everton,Premier League,0:1,"['2.13', '3.52', '3.43']",2021-05-09
Wolves,Brighton,Premier League,2:1,"['3.98', '3.30', '2.05']",2021-05-09
Manchester City,Chelsea,Premier League,1:2,"['2.03', '3.34', '3.98']",2021-05-08
Sheffield Utd,Crystal Palace,Premier League,0:2,"['2.97', '3.18', '2.57']",2021-05-08
Leeds,Tottenham,Premier League,3:1,"['4.03', '3.97', '1.85']",2021-05-08
Liverpool,Southampton,Premier League,2:0,"['1.30', '5.89', '9.25']",2021-05-08
Leicester,Newcastle,Premier League,2:4,"['1.39', '4.94', '8.29']",2021-05-07
West Brom,Wolves,Premier League,1:1,"['2.54', '3.12', '3.06']",2021-05-03
Burnley,West Ham,Premier League,1:2,"['3.02', '3.53', '2.34']",2021-05-03
Tottenham,Sheffield Utd,Premier League,4:0,"['1.32', '5.42', '9.90']",2021-05-02
Newcastle,Arsenal,Premier League,0:2,"['3.73', '3.63', '2.01']",2021-05-02
Brighton,Leeds,Premier League,2:0,"['2.06', '3.51', '3.70']",2021-05-01
Chelsea,Fulham,Premier League,2:0,"['1.48', '4.19', '7.84']",2021-05-01
Crystal Palace,Manchester City,Premier League,0:2,"['9.83', '5.40', '1.33']",2021-05-01
Everton,Aston Villa,Premier League,1:2,"['1.98', '3.72', '3.75']",2021-05-01
Southampton,Leicester,Premier League,1:1,"['4.11', '3.73', '1.89']",2021-04-30
Leicester,Crystal Palace,Premier League,2:1,"['1.43', '4.63', '7.93']",2021-04-26
Aston Villa,West Brom,Premier League,2:2,"['2.07', '3.48', '3.67']",2021-04-25
Leeds,Manchester Utd,Premier League,0:0,"['4.33', '3.91', '1.79']",2021-04-25
Wolves,Burnley,Premier League,0:4,"['2.34', '3.10', '3.42']",2021-04-25
Sheffield Utd,Brighton,Premier League,1:0,"['6.26', '3.97', '1.58']",2021-04-24
Liverpool,Newcastle,Premier League,1:1,"['1.21', '7.18', '12.60']",2021-04-24
West Ham,Chelsea,Premier League,0:1,"['5.29', '3.93', '1.66']",2021-04-24
Arsenal,Everton,Premier League,0:1,"['2.02', '3.54', '3.76']",2021-04-23
Leicester,West Brom,Premier League,3:0,"['1.63', '3.93', '5.66']",2021-04-22
Tottenham,Southampton,Premier League,2:1,"['1.85', '3.80', '4.18']",2021-04-21
Aston Villa,Manchester City,Premier League,1:2,"['9.73', '5.30', '1.33']",2021-04-21
Chelsea,Brighton,Premier League,0:0,"['1.67', '3.72', '5.71']",2021-04-20
Leeds,Liverpool,Premier League,1:1,"['5.18', '4.45', '1.60']",2021-04-19
Arsenal,Fulham,Premier League,1:1,"['1.84', '3.66', '4.43']",2021-04-18
Manchester Utd,Burnley,Premier League,3:1,"['1.36', '5.17', '8.79']",2021-04-18
Newcastle,West Ham,Premier League,3:2,"['3.42', '3.40', '2.19']",2021-04-17
Wolves,Sheffield Utd,Premier League,1:0,"['1.78', '3.43', '5.25']",2021-04-17
Everton,Tottenham,Premier League,2:2,"['3.49', '3.46', '2.13']",2021-04-16
Brighton,Everton,Premier League,0:0,"['2.14', '3.46', '3.55']",2021-04-12
West Brom,Southampton,Premier League,3:0,"['3.57', '3.57', '2.09']",2021-04-12
Burnley,Newcastle,Premier League,1:2,"['2.27', '3.32', '3.30']",2021-04-11
Sheffield Utd,Arsenal,Premier League,0:3,"['5.55', '3.90', '1.66']",2021-04-11
Tottenham,Manchester Utd,Premier League,1:3,"['2.95', '3.54', '2.38']",2021-04-11
West Ham,Leicester,Premier League,3:2,"['3.19', '3.24', '2.39']",2021-04-11
Crystal Palace,Chelsea,Premier League,1:4,"['7.39', '4.21', '1.49']",2021-04-10
Manchester City,Leeds,Premier League,1:2,"['1.38', '5.26', '7.82']",2021-04-10
Liverpool,Aston Villa,Premier League,2:1,"['1.46', '4.68', '6.82']",2021-04-10
Fulham,Wolves,Premier League,0:1,"['2.63', '3.08', '2.96']",2021-04-09
Everton,Crystal Palace,Premier League,1:1,"['1.83', '3.45', '4.77']",2021-04-05
Wolves,West Ham,Premier League,2:3,"['2.89', '3.17', '2.61']",2021-04-05
Manchester Utd,Brighton,Premier League,2:1,"['1.66', '3.92', '5.37']",2021-04-04
Newcastle,Tottenham,Premier League,2:2,"['5.37', '3.82', '1.68']",2021-04-04
Southampton,Burnley,Premier League,3:2,"['2.00', '3.38', '4.02']",2021-04-04
Aston Villa,Fulham,Premier League,3:1,"['2.54', '3.18', '2.99']",2021-04-04
Arsenal,Liverpool,Premier League,0:3,"['2.84', '3.60', '2.41']",2021-04-03
Chelsea,West Brom,Premier League,2:5,"['1.28', '5.64', '11.75']",2021-04-03
Leeds,Sheffield Utd,Premier League,2:1,"['1.55', '4.18', '6.20']",2021-04-03
Leicester,Manchester City,Premier League,0:2,"['5.30', '3.91', '1.67']",2021-04-03
West Ham,Arsenal,Premier League,3:3,"['3.49', '3.47', '2.14']",2021-03-21
Aston Villa,Tottenham,Premier League,0:2,"['3.06', '3.42', '2.36']",2021-03-21
Brighton,Newcastle,Premier League,3:0,"['1.72', '3.54', '5.64']",2021-03-20
Fulham,Leeds,Premier League,1:2,"['2.56', '3.30', '2.84']",2021-03-19
Wolves,Liverpool,Premier League,0:1,"['5.66', '3.89', '1.63']",2021-03-15
Arsenal,Tottenham,Premier League,2:1,"['2.65', '3.31', '2.74']",2021-03-14
Leicester,Sheffield Utd,Premier League,5:0,"['1.52', '4.01', '7.35']",2021-03-14
Manchester Utd,West Ham,Premier League,1:0,"['1.79', '3.60', '4.81']",2021-03-14
Southampton,Brighton,Premier League,1:2,"['3.23', '3.18', '2.38']",2021-03-14
Leeds,Chelsea,Premier League,0:0,"['4.98', '3.92', '1.70']",2021-03-13
Crystal Palace,West Brom,Premier League,1:0,"['2.34', '3.11', '3.40']",2021-03-13
Everton,Burnley,Premier League,1:2,"['1.98', '3.32', '4.22']",2021-03-13
Fulham,Manchester City,Premier League,0:3,"['8.27', '4.74', '1.40']",2021-03-13
Newcastle,Aston Villa,Premier League,1:1,"['3.65', '3.35', '2.12']",2021-03-12
Manchester City,Southampton,Premier League,5:2,"['1.18', '7.42', '16.45']",2021-03-10
Chelsea,Everton,Premier League,2:0,"['1.62', '3.88', '5.93']",2021-03-08
West Ham,Leeds,Premier League,2:0,"['2.25', '3.57', '3.14']",2021-03-08
Liverpool,Fulham,Premier League,0:1,"['1.63', '3.95', '5.68']",2021-03-07
Tottenham,Crystal Palace,Premier League,4:1,"['1.54', '4.15', '6.56']",2021-03-07
West Brom,Newcastle,Premier League,0:0,"['2.31', '3.19', '3.37']",2021-03-07
Manchester City,Manchester Utd,Premier League,0:2,"['1.49', '4.42', '6.76']",2021-03-07
Aston Villa,Wolves,Premier League,0:0,"['2.61', '3.12', '2.92']",2021-03-06
Brighton,Leicester,Premier League,1:2,"['2.51', '3.17', '3.03']",2021-03-06
Burnley,Arsenal,Premier League,1:1,"['4.92', '3.59', '1.78']",2021-03-06
Sheffield Utd,Southampton,Premier League,0:2,"['3.75', '3.33', '2.10']",2021-03-06
Liverpool,Chelsea,Premier League,0:1,"['2.19', '3.49', '3.32']",2021-03-04
West Brom,Everton,Premier League,0:1,"['3.94', '3.47', '1.99']",2021-03-04
Fulham,Tottenham,Premier League,0:1,"['3.90', '3.43', '2.02']",2021-03-04
Burnley,Leicester,Premier League,1:1,"['3.85', '3.13', '2.16']",2021-03-03
Crystal Palace,Manchester Utd,Premier League,0:0,"['7.64', '4.61', '1.43']",2021-03-03
Sheffield Utd,Aston Villa,Premier League,1:0,"['3.56', '3.37', '2.15']",2021-03-03
Manchester City,Wolves,Premier League,4:1,"['1.22', '6.56', '14.54']",2021-03-02
Everton,Southampton,Premier League,1:0,"['2.14', '3.46', '3.47']",2021-03-01
Tottenham,Burnley,Premier League,4:0,"['1.49', '4.30', '7.09']",2021-02-28
Sheffield Utd,Liverpool,Premier League,0:2,"['8.12', '5.28', '1.37']",2021-02-28
Leicester,Arsenal,Premier League,1:3,"['2.32', '3.34', '3.20']",2021-02-28
Chelsea,Manchester Utd,Premier League,0:0,"['2.36', '3.32', '3.15']",2021-02-28
Crystal Palace,Fulham,Premier League,0:0,"['3.48', '3.21', '2.25']",2021-02-28
Newcastle,Wolves,Premier League,1:1,"['3.65', '3.16', '2.21']",2021-02-27
West Brom,Brighton,Premier League,1:0,"['4.54', '3.54', '1.84']",2021-02-27
Leeds,Aston Villa,Premier League,0:1,"['2.04', '3.80', '3.46']",2021-02-27
Manchester City,West Ham,Premier League,2:1,"['1.27', '6.22', '10.93']",2021-02-27
Leeds,Southampton,Premier League,3:0,"['2.15', '3.63', '3.30']",2021-02-23
Brighton,Crystal Palace,Premier League,1:2,"['1.76', '3.49', '5.30']",2021-02-22
Arsenal,Manchester City,Premier League,0:1,"['6.94', '4.59', '1.47']",2021-02-21
Aston Villa,Leicester,Premier League,1:2,"['3.71', '3.66', '1.99']",2021-02-21
West Ham,Tottenham,Premier League,2:1,"['3.02', '3.42', '2.38']",2021-02-21
Manchester Utd,Newcastle,Premier League,3:1,"['1.33', '5.39', '9.49']",2021-02-21
Burnley,West Brom,Premier League,0:0,"['2.14', '3.27', '3.68']",2021-02-20
Fulham,Sheffield Utd,Premier League,1:0,"['1.96', '3.34', '4.21']",2021-02-20
Liverpool,Everton,Premier League,0:2,"['1.37', '5.25', '8.01']",2021-02-20
Southampton,Chelsea,Premier League,1:1,"['4.63', '3.77', '1.78']",2021-02-20
Wolves,Leeds,Premier League,1:0,"['2.30', '3.37', '3.21']",2021-02-19
Burnley,Fulham,Premier League,1:1,"['2.95', '3.15', '2.58']",2021-02-17
Everton,Manchester City,Premier League,1:3,"['10.71', '5.77', '1.29']",2021-02-17
Chelsea,Newcastle,Premier League,2:0,"['1.29', '5.80', '10.72']",2021-02-15
West Ham,Sheffield Utd,Premier League,3:0,"['2.03', '3.28', '4.07']",2021-02-15
Everton,Fulham,Premier League,0:2,"['2.02', '3.39', '3.93']",2021-02-14
Southampton,Wolves,Premier League,1:2,"['2.22', '3.24', '3.52']",2021-02-14
West Brom,Manchester Utd,Premier League,1:1,"['9.74', '5.82', '1.30']",2021-02-14
Arsenal,Leeds,Premier League,4:2,"['1.81', '3.88', '4.27']",2021-02-14
Brighton,Aston Villa,Premier League,0:0,"['2.87', '3.37', '2.50']",2021-02-13
Crystal Palace,Burnley,Premier League,0:3,"['2.85', '3.15', '2.67']",2021-02-13
Leicester,Liverpool,Premier League,3:1,"['3.75', '3.85', '1.94']",2021-02-13
Manchester City,Tottenham,Premier League,3:0,"['1.33', '5.70', '8.62']",2021-02-13
Leeds,Crystal Palace,Premier League,2:0,"['1.81', '3.72', '4.55']",2021-02-08
Liverpool,Manchester City,Premier League,1:4,"['3.14', '3.60', '2.23']",2021-02-07
Tottenham,West Brom,Premier League,2:0,"['1.38', '4.96', '8.36']",2021-02-07
Wolves,Leicester,Premier League,0:0,"['3.35', '3.22', '2.30']",2021-02-07
Sheffield Utd,Chelsea,Premier League,1:2,"['7.00', '4.28', '1.49']",2021-02-07
Aston Villa,Arsenal,Premier League,1:0,"['2.97', '3.46', '2.39']",2021-02-06
Burnley,Brighton,Premier League,1:1,"['3.62', '3.16', '2.21']",2021-02-06
Fulham,West Ham,Premier League,0:0,"['4.12', '3.64', '1.90']",2021-02-06
Manchester Utd,Everton,Premier League,3:3,"['1.61', '4.15', '5.45']",2021-02-06
Newcastle,Southampton,Premier League,3:2,"['3.28', '3.48', '2.22']",2021-02-06
Tottenham,Chelsea,Premier League,0:1,"['3.99', '3.47', '1.98']",2021-02-04
Burnley,Manchester City,Premier League,0:2,"['15.65', '6.88', '1.20']",2021-02-03
Leeds,Everton,Premier League,1:2,"['2.56', '3.47', '2.73']",2021-02-03
Liverpool,Brighton,Premier League,0:1,"['1.49', '4.56', '6.49']",2021-02-03
Aston Villa,West Ham,Premier League,1:3,"['2.34', '3.46', '3.05']",2021-02-03
Fulham,Leicester,Premier League,0:2,"['3.78', '3.33', '2.07']",2021-02-03
Manchester Utd,Southampton,Premier League,9:0,"['1.44', '4.77', '6.98']",2021-02-02
Newcastle,Crystal Palace,Premier League,1:2,"['2.95', '3.27', '2.49']",2021-02-02
Sheffield Utd,West Brom,Premier League,2:1,"['2.11', '3.34', '3.71']",2021-02-02
Wolves,Arsenal,Premier League,2:1,"['3.61', '3.26', '2.18']",2021-02-02
Leicester,Leeds,Premier League,1:3,"['1.83', '3.83', '4.23']",2021-01-31
West Ham,Liverpool,Premier League,1:3,"['3.45', '3.68', '2.07']",2021-01-31
Brighton,Tottenham,Premier League,1:0,"['3.25', '3.32', '2.30']",2021-01-31
Chelsea,Burnley,Premier League,2:0,"['1.32', '5.25', '10.08']",2021-01-31
Arsenal,Manchester Utd,Premier League,0:0,"['3.45', '3.49', '2.14']",2021-01-30
Crystal Palace,Wolves,Premier League,1:0,"['2.94', '3.08', '2.61']",2021-01-30
Everton,Newcastle,Premier League,0:2,"['1.56', '4.09', '6.29']",2021-01-30
Manchester City,Sheffield Utd,Premier League,1:0,"['1.18', '7.34', '17.15']",2021-01-30
Southampton,Aston Villa,Premier League,0:1,"['3.22', '3.68', '2.16']",2021-01-30
West Brom,Fulham,Premier League,2:2,"['3.54', '3.30', '2.18']",2021-01-30
Tottenham,Liverpool,Premier League,1:3,"['3.57', '3.78', '2.01']",2021-01-28
Manchester Utd,Sheffield Utd,Premier League,1:2,"['1.27', '6.00', '10.78']",2021-01-27
Everton,Leicester,Premier League,1:1,"['3.17', '3.29', '2.36']",2021-01-27
Chelsea,Wolves,Premier League,0:0,"['1.64', '3.83', '5.79']",2021-01-27
Burnley,Aston Villa,Premier League,3:2,"['4.41', '3.73', '1.81']",2021-01-27
Brighton,Fulham,Premier League,0:0,"['2.05', '3.34', '3.91']",2021-01-27
Southampton,Arsenal,Premier League,1:3,"['3.48', '3.66', '2.07']",2021-01-26
Newcastle,Leeds,Premier League,1:2,"['4.07', '3.95', '1.83']",2021-01-26
Crystal Palace,West Ham,Premier League,2:3,"['3.54', '3.32', '2.18']",2021-01-26
West Brom,Manchester City,Premier League,0:5,"['19.41', '8.33', '1.15']",2021-01-26
Aston Villa,Newcastle,Premier League,2:0,"['1.50', '4.60', '6.25']",2021-01-23
Liverpool,Burnley,Premier League,0:1,"['1.32', '5.49', '9.72']",2021-01-21
Fulham,Manchester Utd,Premier League,1:2,"['5.48', '4.10', '1.62']",2021-01-20
Manchester City,Aston Villa,Premier League,2:0,"['1.31', '5.74', '9.51']",2021-01-20
Leicester,Chelsea,Premier League,2:0,"['2.79', '3.42', '2.53']",2021-01-19
West Ham,West Brom,Premier League,2:1,"['1.53', '4.20', '6.53']",2021-01-19
Arsenal,Newcastle,Premier League,3:0,"['1.42', '4.76', '7.75']",2021-01-18
Liverpool,Manchester Utd,Premier League,0:0,"['1.94', '3.88', '3.69']",2021-01-17
Manchester City,Crystal Palace,Premier League,4:0,"['1.17', '7.48', '16.95']",2021-01-17
Sheffield Utd,Tottenham,Premier League,1:3,"['4.77', '3.59', '1.80']",2021-01-17
West Ham,Burnley,Premier League,1:0,"['1.76', '3.66', '4.88']",2021-01-16
Wolves,West Brom,Premier League,2:3,"['1.64', '3.70', '6.15']",2021-01-16
Leicester,Southampton,Premier League,2:0,"['1.70', '3.83', '5.08']",2021-01-16
Leeds,Brighton,Premier League,0:1,"['2.27', '3.51', '3.13']",2021-01-16
Fulham,Chelsea,Premier League,0:1,"['6.11', '4.09', '1.57']",2021-01-16
Arsenal,Crystal Palace,Premier League,0:0,"['1.69', '3.80', '5.25']",2021-01-14
Manchester City,Brighton,Premier League,1:0,"['1.17', '7.72', '16.79']",2021-01-13
Tottenham,Fulham,Premier League,1:1,"['1.62', '3.85', '6.08']",2021-01-13
Wolves,Everton,Premier League,1:2,"['2.58', '2.90', '3.18']",2021-01-12
Burnley,Manchester Utd,Premier League,0:1,"['7.81', '4.86', '1.40']",2021-01-12
Sheffield Utd,Newcastle,Premier League,1:0,"['2.34', '3.13', '3.37']",2021-01-12
Southampton,Liverpool,Premier League,1:0,"['6.00', '4.75', '1.50']",2021-01-04
Chelsea,Manchester City,Premier League,1:3,"['3.38', '3.59', '2.13']",2021-01-03
Newcastle,Leicester,Premier League,1:2,"['6.04', '4.05', '1.59']",2021-01-03
Brighton,Wolves,Premier League,3:3,"['2.84', '3.03', '2.76']",2021-01-02
Crystal Palace,Sheffield Utd,Premier League,2:0,"['2.08', '3.26', '3.90']",2021-01-02
Tottenham,Leeds,Premier League,3:0,"['1.84', '4.01', '4.03']",2021-01-02
West Brom,Arsenal,Premier League,0:4,"['5.97', '4.02', '1.60']",2021-01-02
Manchester Utd,Aston Villa,Premier League,2:1,"['1.70', '4.12', '4.73']",2021-01-01
Everton,West Ham,Premier League,0:1,"['2.24', '3.45', '3.29']",2021-01-01
Newcastle,Liverpool,Premier League,0:0,"['10.40', '6.01', '1.28']",2020-12-30
Brighton,Arsenal,Premier League,0:1,"['3.64', '3.42', '2.10']",2020-12-29
Burnley,Sheffield Utd,Premier League,1:0,"['2.39', '3.18', '3.21']",2020-12-29
Manchester Utd,Wolves,Premier League,1:0,"['1.54', '4.28', '6.24']",2020-12-29
Southampton,West Ham,Premier League,0:0,"['2.02', '3.56', '3.72']",2020-12-29
West Brom,Leeds,Premier League,0:5,"['4.23', '3.95', '1.81']",2020-12-29
Chelsea,Aston Villa,Premier League,1:1,"['1.80', '3.97', '4.21']",2020-12-28
Crystal Palace,Leicester,Premier League,1:1,"['3.34', '3.38', '2.23']",2020-12-28
Wolves,Tottenham,Premier League,1:1,"['3.53', '3.34', '2.17']",2020-12-27
Liverpool,West Brom,Premier League,1:1,"['1.13', '9.16', '20.67']",2020-12-27
West Ham,Brighton,Premier League,2:2,"['2.36', '3.32', '3.14']",2020-12-27
Leeds,Burnley,Premier League,1:0,"['1.70', '4.16', '4.69']",2020-12-27
Aston Villa,Crystal Palace,Premier League,3:0,"['1.82', '3.82', '4.30']",2020-12-26
Arsenal,Chelsea,Premier League,3:1,"['4.74', '3.86', '1.74']",2020-12-26
Leicester,Manchester Utd,Premier League,2:2,"['2.97', '3.54', '2.35']",2020-12-26
Manchester City,Newcastle,Premier League,2:0,"['1.12', '9.81', '21.00']",2020-12-26
Sheffield Utd,Everton,Premier League,0:1,"['3.37', '3.29', '2.26']",2020-12-26
Fulham,Southampton,Premier League,0:0,"['2.88', '3.28', '2.54']",2020-12-26
Burnley,Wolves,Premier League,2:1,"['3.45', '3.05', '2.34']",2020-12-21
Chelsea,West Ham,Premier League,3:0,"['1.57', '4.32', '5.61']",2020-12-21
West Brom,Aston Villa,Premier League,0:3,"['4.65', '4.03', '1.72']",2020-12-20
Manchester Utd,Leeds,Premier League,6:2,"['1.71', '4.33', '4.39']",2020-12-20
Brighton,Sheffield Utd,Premier League,1:1,"['1.87', '3.41', '4.61']",2020-12-20
Tottenham,Leicester,Premier League,0:2,"['2.10', '3.49', '3.56']",2020-12-20
Crystal Palace,Liverpool,Premier League,0:7,"['5.31', '4.05', '1.64']",2020-12-19
Everton,Arsenal,Premier League,2:1,"['2.64', '3.40', '2.68']",2020-12-19
Newcastle,Fulham,Premier League,1:1,"['2.84', '3.29', '2.57']",2020-12-19
Southampton,Manchester City,Premier League,0:1,"['6.01', '4.61', '1.51']",2020-12-19
Aston Villa,Burnley,Premier League,0:0,"['1.86', '3.74', '4.20']",2020-12-17
Sheffield Utd,Manchester Utd,Premier League,2:3,"['7.17', '4.71', '1.44']",2020-12-17
Leicester,Everton,Premier League,0:2,"['2.12', '3.50', '3.48']",2020-12-16
West Ham,Crystal Palace,Premier League,1:1,"['2.17', '3.35', '3.50']",2020-12-16
Liverpool,Tottenham,Premier League,2:1,"['1.82', '3.90', '4.17']",2020-12-16
Leeds,Newcastle,Premier League,5:2,"['1.59', '4.38', '5.33']",2020-12-16
Fulham,Brighton,Premier League,0:0,"['2.90', '3.28', '2.53']",2020-12-16
Arsenal,Southampton,Premier League,1:1,"['2.16', '3.50', '3.38']",2020-12-16
Manchester City,West Brom,Premier League,1:1,"['1.09', '11.11', '24.44']",2020-12-15
Wolves,Chelsea,Premier League,2:1,"['5.42', '3.75', '1.68']",2020-12-15
Arsenal,Burnley,Premier League,0:1,"['1.45', '4.64', '7.22']",2020-12-13
Crystal Palace,Tottenham,Premier League,1:1,"['4.20', '3.77', '1.85']",2020-12-13
Fulham,Liverpool,Premier League,1:1,"['8.22', '5.45', '1.35']",2020-12-13
Leicester,Brighton,Premier League,3:0,"['2.03', '3.52', '3.73']",2020-12-13
Southampton,Sheffield Utd,Premier League,3:0,"['1.63', '4.02', '5.45']",2020-12-13
Newcastle,West Brom,Premier League,2:1,"['2.44', '3.23', '3.07']",2020-12-12
Wolves,Aston Villa,Premier League,0:1,"['2.55', '3.23', '2.90']",2020-12-12
Manchester Utd,Manchester City,Premier League,0:0,"['4.58', '4.17', '1.71']",2020-12-12
Everton,Chelsea,Premier League,1:0,"['4.74', '4.24', '1.67']",2020-12-12
Leeds,West Ham,Premier League,1:2,"['2.13', '3.74', '3.25']",2020-12-11
Brighton,Southampton,Premier League,1:2,"['2.43', '3.38', '2.96']",2020-12-07
Liverpool,Wolves,Premier League,4:0,"['1.58', '4.33', '5.59']",2020-12-06
Sheffield Utd,Leicester,Premier League,1:2,"['4.07', '3.51', '1.95']",2020-12-06
Tottenham,Arsenal,Premier League,2:0,"['2.17', '3.48', '3.37']",2020-12-06
West Brom,Crystal Palace,Premier League,1:5,"['3.02', '3.29', '2.46']",2020-12-06
Burnley,Everton,Premier League,1:1,"['3.73', '3.52', '2.04']",2020-12-05
Chelsea,Leeds,Premier League,3:1,"['1.46', '4.92', '6.27']",2020-12-05
Manchester City,Fulham,Premier League,2:0,"['1.11', '10.26', '21.14']",2020-12-05
West Ham,Manchester Utd,Premier League,1:3,"['3.37', '3.48', '2.17']",2020-12-05
West Ham,Aston Villa,Premier League,2:1,"['2.33', '3.50', '3.03']",2020-11-30
Leicester,Fulham,Premier League,1:2,"['1.62', '4.09', '5.53']",2020-11-30
Arsenal,Wolves,Premier League,1:2,"['2.08', '3.28', '3.85']",2020-11-29
Chelsea,Tottenham,Premier League,0:0,"['2.01', '3.64', '3.69']",2020-11-29
Southampton,Manchester Utd,Premier League,2:3,"['3.82', '3.71', '1.95']",2020-11-29
Brighton,Liverpool,Premier League,1:1,"['4.85', '4.20', '1.67']",2020-11-28
Everton,Leeds,Premier League,0:1,"['2.29', '3.64', '3.01']",2020-11-28
Manchester City,Burnley,Premier League,5:0,"['1.12', '9.91', '20.05']",2020-11-28
West Brom,Sheffield Utd,Premier League,1:0,"['2.63', '3.13', '2.89']",2020-11-28
Crystal Palace,Newcastle,Premier League,0:2,"['2.15', '3.17', '3.78']",2020-11-27
Burnley,Crystal Palace,Premier League,1:0,"['2.65', '3.09', '2.90']",2020-11-23
Wolves,Southampton,Premier League,1:1,"['2.34', '3.20', '3.29']",2020-11-23
Sheffield Utd,West Ham,Premier League,0:1,"['3.10', '3.20', '2.44']",2020-11-22
Liverpool,Leicester,Premier League,3:0,"['1.77', '4.04', '4.31']",2020-11-22
Leeds,Arsenal,Premier League,0:0,"['3.46', '3.76', '2.04']",2020-11-22
Fulham,Everton,Premier League,2:3,"['4.19', '3.80', '1.84']",2020-11-22
Manchester Utd,West Brom,Premier League,1:0,"['1.32', '5.68', '9.18']",2020-11-21
Newcastle,Chelsea,Premier League,0:2,"['7.12', '4.73', '1.44']",2020-11-21
Tottenham,Manchester City,Premier League,2:0,"['4.13', '4.10', '1.79']",2020-11-21
Aston Villa,Brighton,Premier League,1:2,"['2.28', '3.52', '3.11']",2020-11-21
West Brom,Tottenham,Premier League,0:1,"['6.47', '4.62', '1.48']",2020-11-08
Arsenal,Aston Villa,Premier League,0:3,"['1.64', '4.35', '4.90']",2020-11-08
Manchester City,Liverpool,Premier League,1:1,"['1.91', '4.12', '3.64']",2020-11-08
Leicester,Wolves,Premier League,1:0,"['2.35', '3.14', '3.34']",2020-11-08
Crystal Palace,Leeds,Premier League,4:1,"['2.83', '3.42', '2.50']",2020-11-07
Everton,Manchester Utd,Premier League,1:3,"['3.17', '3.60', '2.22']",2020-11-07
West Ham,Fulham,Premier League,1:0,"['1.84', '3.79', '4.19']",2020-11-07
Chelsea,Sheffield Utd,Premier League,4:1,"['1.37', '4.97', '8.63']",2020-11-07
Brighton,Burnley,Premier League,0:0,"['1.95', '3.39', '4.24']",2020-11-06
Southampton,Newcastle,Premier League,2:0,"['2.16', '3.43', '3.44']",2020-11-06
Fulham,West Brom,Premier League,2:0,"['2.42', '3.27', '3.08']",2020-11-02
Leeds,Leicester,Premier League,1:4,"['2.41', '3.61', '2.83']",2020-11-02
Tottenham,Brighton,Premier League,2:1,"['1.58', '4.27', '5.68']",2020-11-01
Manchester Utd,Arsenal,Premier League,0:1,"['1.98', '3.58', '3.87']",2020-11-01
Newcastle,Everton,Premier League,2:1,"['3.32', '3.32', '2.27']",2020-11-01
Aston Villa,Southampton,Premier League,3:4,"['2.57', '3.54', '2.69']",2020-11-01
Burnley,Chelsea,Premier League,0:3,"['5.62', '4.26', '1.59']",2020-10-31
Sheffield Utd,Manchester City,Premier League,0:1,"['10.52', '6.09', '1.28']",2020-10-31
Liverpool,West Ham,Premier League,2:1,"['1.41', '5.18', '7.01']",2020-10-31
Wolves,Crystal Palace,Premier League,2:0,"['2.06', '3.13', '4.19']",2020-10-30
Brighton,West Brom,Premier League,1:1,"['1.67', '3.97', '5.12']",2020-10-26
Burnley,Tottenham,Premier League,0:1,"['5.67', '4.32', '1.57']",2020-10-26
Arsenal,Leicester,Premier League,0:1,"['1.94', '3.53', '4.04']",2020-10-25
Southampton,Everton,Premier League,2:0,"['3.05', '3.52', '2.30']",2020-10-25
Wolves,Newcastle,Premier League,1:1,"['1.82', '3.41', '4.90']",2020-10-25
Fulham,Crystal Palace,Premier League,1:2,"['2.58', '3.14', '2.94']",2020-10-24
Liverpool,Sheffield Utd,Premier League,2:1,"['1.21', '7.23', '12.77']",2020-10-24
Manchester Utd,Chelsea,Premier League,0:0,"['2.59', '3.44', '2.70']",2020-10-24
West Ham,Manchester City,Premier League,1:1,"['6.63', '5.08', '1.43']",2020-10-24
Aston Villa,Leeds,Premier League,0:3,"['1.90', '3.98', '3.75']",2020-10-23
West Brom,Burnley,Premier League,0:0,"['2.56', '3.25', '2.88']",2020-10-19
Leeds,Wolves,Premier League,0:1,"['2.46', '3.35', '2.93']",2020-10-19
Crystal Palace,Brighton,Premier League,1:1,"['3.11', '3.18', '2.44']",2020-10-18
Leicester,Aston Villa,Premier League,0:1,"['2.37', '3.56', '2.94']",2020-10-18
Sheffield Utd,Fulham,Premier League,1:1,"['2.28', '3.15', '3.47']",2020-10-18
