homeTeam,awayTeam,league,odds,date,time
Barrow,Port Vale,eng2,"['3.51', '3.12', '2.16']",2022-04-02,16:00
Bristol Rovers,Bradford City,eng2,"['2.01', '3.40', '3.60']",2022-04-02,16:00
Forest Green,Scunthorpe,eng2,"['1.24', '5.73', '11.79']",2022-04-02,16:00
Harrogate,Colchester,eng2,"['2.19', '3.31', '3.22']",2022-04-02,16:00
Hartlepool,Salford,eng2,"['2.92', '3.19', '2.41']",2022-04-02,16:00
Mansfield,Northampton,eng2,"['2.14', '3.19', '3.46']",2022-04-02,16:00
Newport,Exeter,eng2,"['2.42', '3.25', '2.86']",2022-04-02,16:00
Rochdale,Swindon,eng2,"['2.60', '3.25', '2.64']",2022-04-02,16:00
Stevenage,Oldham,eng2,"['1.87', '3.39', '4.20']",2022-04-02,16:00
Tranmere,Carlisle,eng2,"['1.85', '3.38', '4.32']",2022-04-02,16:00
Walsall,Leyton Orient,eng2,"['2.40', '3.03', '3.09']",2022-04-02,16:00
Salford,Port Vale,eng2,"['2.55', '3.08', '2.80']",2022-04-05,20:45
