homeTeam,awayTeam,league,result,odds,date
Aston Villa,West Ham,premier,1:1,"['1.47', '4.74', '6.37']",2025-01-26
Tottenham,Leicester,premier,1:2,"['1.50', '4.86', '5.52']",2025-01-26
Crystal Palace,Brentford,premier,1:2,"['1.97', '3.72', '3.69']",2025-01-26
Fulham,Manchester Utd,premier,0:1,"['2.38', '3.42', '2.99']",2025-01-26
Bournemouth,Nottingham,premier,5:0,"['1.98', '3.61', '3.77']",2025-01-25
Brighton,Everton,premier,0:1,"['1.70', '3.72', '5.30']",2025-01-25
Liverpool,Ipswich,premier,4:1,"['1.10', '11.21', '20.60']",2025-01-25
Manchester City,Chelsea,premier,3:1,"['2.33', '3.77', '2.82']",2025-01-25
Southampton,Newcastle,premier,1:3,"['6.49', '4.89', '1.45']",2025-01-25
Wolves,Arsenal,premier,0:1,"['5.80', '4.03', '1.60']",2025-01-25
Chelsea,Wolves,premier,3:1,"['1.43', '5.09', '6.52']",2025-01-20
Everton,Tottenham,premier,3:2,"['2.55', '3.39', '2.77']",2025-01-19
Ipswich,Manchester City,premier,0:6,"['7.77', '5.22', '1.38']",2025-01-19
Manchester Utd,Brighton,premier,1:3,"['2.31', '3.39', '3.16']",2025-01-19
Nottingham,Southampton,premier,3:2,"['1.39', '4.90', '8.04']",2025-01-19
West Ham,Crystal Palace,premier,0:2,"['2.77', '3.23', '2.63']",2025-01-18
Newcastle,Bournemouth,premier,1:4,"['1.63', '4.23', '5.02']",2025-01-18
Leicester,Fulham,premier,0:2,"['4.50', '3.73', '1.79']",2025-01-18
Arsenal,Aston Villa,premier,2:2,"['1.56', '4.09', '6.06']",2025-01-18
Brentford,Liverpool,premier,0:2,"['6.05', '4.96', '1.47']",2025-01-18
Ipswich,Brighton,premier,0:2,"['3.79', '3.64', '1.96']",2025-01-16
Manchester Utd,Southampton,premier,3:1,"['1.27', '5.92', '10.67']",2025-01-16
Arsenal,Tottenham,premier,2:1,"['1.38', '5.21', '7.58']",2025-01-15
Everton,Aston Villa,premier,0:1,"['3.45', '3.11', '2.28']",2025-01-15
Leicester,Crystal Palace,premier,0:2,"['3.90', '3.59', '1.95']",2025-01-15
Newcastle,Wolves,premier,3:0,"['1.37', '5.23', '7.75']",2025-01-15
Brentford,Manchester City,premier,2:2,"['5.10', '4.43', '1.60']",2025-01-14
Chelsea,Bournemouth,premier,2:2,"['1.52', '4.73', '5.50']",2025-01-14
