homeTeam,awayTeam,league,result,odds,date
Nottingham,Liverpool,premier,1:1,"['5.36', '4.18', '1.61']",2025-01-14
West Ham,Fulham,premier,3:2,"['3.05', '3.30', '2.40']",2025-01-14
Wolves,Nottingham,premier,0:3,"['3.86', '3.45', '2.00']",2025-01-06
Liverpool,Manchester Utd,premier,2:2,"['1.36', '5.37', '7.95']",2025-01-05
Fulham,Ipswich,premier,2:2,"['1.55', '4.14', '5.97']",2025-01-05
Aston Villa,Leicester,premier,2:1,"['1.33', '5.60', '8.48']",2025-01-04
Bournemouth,Everton,premier,1:0,"['1.69', '3.86', '5.08']",2025-01-04
Brighton,Arsenal,premier,1:1,"['4.72', '3.59', '1.80']",2025-01-04
Crystal Palace,Chelsea,premier,1:1,"['3.54', '3.85', '1.97']",2025-01-04
Manchester City,West Ham,premier,4:1,"['1.24', '6.90', '10.26']",2025-01-04
Southampton,Brentford,premier,0:5,"['3.31', '3.57', '2.14']",2025-01-04
Tottenham,Newcastle,premier,1:2,"['3.80', '4.50', '1.78']",2025-01-04
Brentford,Arsenal,premier,1:3,"['5.74', '4.39', '1.54']",2025-01-01
Aston Villa,Brighton,premier,2:2,"['1.88', '3.71', '4.05']",2024-12-30
Ipswich,Chelsea,premier,2:0,"['7.32', '5.15', '1.39']",2024-12-30
Manchester Utd,Newcastle,premier,0:2,"['2.73', '3.53', '2.51']",2024-12-30
West Ham,Liverpool,premier,0:5,"['7.38', '5.33', '1.38']",2024-12-29
Tottenham,Wolves,premier,2:2,"['1.65', '4.50', '4.54']",2024-12-29
Leicester,Manchester City,premier,0:2,"['9.69', '6.28', '1.27']",2024-12-29
Fulham,Bournemouth,premier,2:2,"['2.27', '3.43', '3.17']",2024-12-29
Everton,Nottingham,premier,0:2,"['2.67', '3.07', '2.89']",2024-12-29
Crystal Palace,Southampton,premier,2:1,"['1.52', '4.34', '6.20']",2024-12-29
Arsenal,Ipswich,premier,1:0,"['1.14', '8.73', '18.23']",2024-12-27
Brighton,Brentford,premier,0:0,"['1.61', '4.46', '4.86']",2024-12-27
Bournemouth,Crystal Palace,premier,0:0,"['2.08', '3.61', '3.43']",2024-12-26
Chelsea,Fulham,premier,1:2,"['1.46', '4.88', '6.19']",2024-12-26
Liverpool,Leicester,premier,3:1,"['1.08', '12.62', '26.81']",2024-12-26
Manchester City,Everton,premier,1:1,"['1.34', '5.37', '8.62']",2024-12-26
Newcastle,Aston Villa,premier,3:0,"['1.93', '3.77', '3.78']",2024-12-26
Nottingham,Tottenham,premier,1:0,"['2.14', '3.90', '3.05']",2024-12-26
Southampton,West Ham,premier,0:1,"['3.06', '3.50', '2.29']",2024-12-26
Wolves,Manchester Utd,premier,2:0,"['4.28', '3.79', '1.82']",2024-12-26
Manchester Utd,Bournemouth,premier,0:3,"['1.85', '3.74', '4.17']",2024-12-22
Tottenham,Liverpool,premier,3:6,"['4.74', '4.52', '1.63']",2024-12-22
Everton,Chelsea,premier,0:0,"['4.79', '4.10', '1.67']",2024-12-22
Leicester,Wolves,premier,0:3,"['2.91', '3.41', '2.42']",2024-12-22
Fulham,Southampton,premier,0:0,"['1.62', '4.11', '5.39']",2024-12-22
Aston Villa,Manchester City,premier,2:1,"['3.18', '3.62', '2.18']",2024-12-21
Brentford,Nottingham,premier,0:2,"['2.48', '3.57', '2.74']",2024-12-21
Crystal Palace,Arsenal,premier,1:5,"['7.04', '4.39', '1.47']",2024-12-21
Ipswich,Newcastle,premier,0:4,"['4.65', '4.02', '1.71']",2024-12-21
West Ham,Brighton,premier,1:1,"['2.76', '3.61', '2.44']",2024-12-21
Bournemouth,West Ham,premier,1:1,"['1.73', '4.16', '4.37']",2024-12-16
Brighton,Crystal Palace,premier,1:3,"['1.89', '3.67', '4.01']",2024-12-15
Chelsea,Brentford,premier,2:1,"['1.35', '5.76', '7.52']",2024-12-15
Manchester City,Manchester Utd,premier,1:2,"['1.52', '4.78', '5.53']",2024-12-15
Southampton,Tottenham,premier,0:5,"['3.94', '4.38', '1.77']",2024-12-15
Newcastle,Leicester,premier,4:0,"['1.28', '6.17', '9.44']",2024-12-14
Wolves,Ipswich,premier,1:2,"['1.96', '3.62', '3.76']",2024-12-14
Nottingham,Aston Villa,premier,2:1,"['2.69', '3.19', '2.76']",2024-12-14
Liverpool,Fulham,premier,2:2,"['1.28', '6.13', '9.58']",2024-12-14
Arsenal,Everton,premier,0:0,"['1.23', '6.34', '12.58']",2024-12-14
West Ham,Wolves,premier,2:1,"['1.82', '3.84', '4.18']",2024-12-09
Fulham,Arsenal,premier,1:1,"['5.31', '4.21', '1.61']",2024-12-08
Ipswich,Bournemouth,premier,1:2,"['3.80', '3.81', '1.92']",2024-12-08
Leicester,Brighton,premier,2:2,"['4.93', '4.18', '1.66']",2024-12-08
Tottenham,Chelsea,premier,3:4,"['2.89', '3.94', '2.24']",2024-12-08
Aston Villa,Southampton,premier,1:0,"['1.32', '5.59', '9.11']",2024-12-07
Brentford,Newcastle,premier,4:2,"['2.94', '3.66', '2.31']",2024-12-07
Crystal Palace,Manchester City,premier,2:2,"['4.68', '3.98', '1.73']",2024-12-07
Manchester Utd,Nottingham,premier,2:3,"['1.68', '3.90', '5.04']",2024-12-07
Bournemouth,Tottenham,premier,1:0,"['2.17', '3.90', '3.03']",2024-12-05
Fulham,Brighton,premier,3:1,"['2.59', '3.57', '2.64']",2024-12-05
Manchester City,Nottingham,premier,3:0,"['1.32', '5.61', '9.21']",2024-12-04
Southampton,Chelsea,premier,1:5,"['8.63', '5.77', '1.32']",2024-12-04
Newcastle,Liverpool,premier,3:3,"['3.59', '3.75', '1.99']",2024-12-04
Aston Villa,Brentford,premier,3:1,"['1.68', '4.09', '4.83']",2024-12-04
Everton,Wolves,premier,4:0,"['2.10', '3.33', '3.70']",2024-12-04
Arsenal,Manchester Utd,premier,2:0,"['1.45', '4.79', '6.80']",2024-12-04
Ipswich,Crystal Palace,premier,0:1,"['3.24', '3.36', '2.28']",2024-12-03
Leicester,West Ham,premier,3:1,"['2.96', '3.45', '2.38']",2024-12-03
Chelsea,Aston Villa,premier,3:0,"['1.70', '4.06', '4.64']",2024-12-01
Liverpool,Manchester City,premier,2:0,"['2.03', '3.73', '3.51']",2024-12-01
Manchester Utd,Everton,premier,4:0,"['1.61', '4.03', '5.66']",2024-12-01
Tottenham,Fulham,premier,1:1,"['1.94', '4.05', '3.52']",2024-12-01
Brentford,Leicester,premier,4:1,"['1.61', '4.32', '5.23']",2024-11-30
Crystal Palace,Newcastle,premier,1:1,"['3.23', '3.46', '2.23']",2024-11-30
Nottingham,Ipswich,premier,1:0,"['1.71', '3.95', '4.84']",2024-11-30
West Ham,Arsenal,premier,2:5,"['7.29', '4.76', '1.43']",2024-11-30
Wolves,Bournemouth,premier,2:4,"['2.69', '3.47', '2.60']",2024-11-30
Brighton,Southampton,premier,1:1,"['1.38', '5.40', '7.23']",2024-11-29
Newcastle,West Ham,premier,0:2,"['1.47', '4.75', '6.43']",2024-11-25
Ipswich,Manchester Utd,premier,1:1,"['5.01', '4.07', '1.67']",2024-11-24
Southampton,Liverpool,premier,2:3,"['8.96', '5.64', '1.32']",2024-11-24
Arsenal,Nottingham,premier,3:0,"['1.40', '4.73', '8.34']",2024-11-23
Aston Villa,Crystal Palace,premier,2:2,"['1.72', '3.80', '4.91']",2024-11-23
Bournemouth,Brighton,premier,1:2,"['2.43', '3.56', '2.83']",2024-11-23
Everton,Brentford,premier,0:0,"['2.34', '3.37', '3.11']",2024-11-23
Fulham,Wolves,premier,1:4,"['1.54', '4.41', '5.82']",2024-11-23
Leicester,Chelsea,premier,1:2,"['6.86', '4.79', '1.45']",2024-11-23
Manchester City,Tottenham,premier,0:4,"['1.41', '5.26', '6.96']",2024-11-23
Nottingham,Newcastle,premier,1:3,"['2.74', '3.29', '2.66']",2024-11-10
Tottenham,Ipswich,premier,1:2,"['1.25', '6.64', '10.41']",2024-11-10
Chelsea,Arsenal,premier,1:1,"['3.00', '3.39', '2.40']",2024-11-10
Manchester Utd,Leicester,premier,3:0,"['1.32', '5.66', '8.79']",2024-11-10
Liverpool,Aston Villa,premier,2:0,"['1.48', '4.72', '6.35']",2024-11-09
Wolves,Southampton,premier,2:0,"['1.91', '3.75', '3.94']",2024-11-09
West Ham,Everton,premier,0:0,"['2.16', '3.42', '3.47']",2024-11-09
Brentford,Bournemouth,premier,3:2,"['2.59', '3.55', '2.64']",2024-11-09
Crystal Palace,Fulham,premier,0:2,"['3.34', '3.31', '2.25']",2024-11-09
Brighton,Manchester City,premier,2:1,"['4.07', '4.12', '1.79']",2024-11-09
Fulham,Brentford,premier,2:1,"['2.01', '3.73', '3.58']",2024-11-04
Manchester Utd,Chelsea,premier,1:1,"['2.63', '3.59', '2.57']",2024-11-03
Tottenham,Aston Villa,premier,4:1,"['1.94', '3.99', '3.59']",2024-11-03
Newcastle,Arsenal,premier,1:0,"['3.95', '3.59', '1.95']",2024-11-02
Wolves,Crystal Palace,premier,2:2,"['2.42', '3.32', '3.01']",2024-11-02
Southampton,Everton,premier,1:0,"['2.68', '3.32', '2.70']",2024-11-02
Nottingham,West Ham,premier,3:0,"['2.04', '3.47', '3.76']",2024-11-02
Liverpool,Brighton,premier,2:1,"['1.37', '5.48', '7.47']",2024-11-02
Ipswich,Leicester,premier,1:1,"['2.34', '3.57', '2.96']",2024-11-02
Bournemouth,Manchester City,premier,2:1,"['5.85', '4.44', '1.54']",2024-11-02
Chelsea,Newcastle,premier,2:1,"['1.78', '4.11', '4.13']",2024-10-27
Crystal Palace,Tottenham,premier,1:0,"['3.69', '3.93', '1.92']",2024-10-27
West Ham,Manchester Utd,premier,2:1,"['3.28', '3.67', '2.14']",2024-10-27
Arsenal,Liverpool,premier,2:2,"['2.24', '3.38', '3.29']",2024-10-27
Aston Villa,Bournemouth,premier,1:1,"['1.80', '3.92', '4.30']",2024-10-26
Brentford,Ipswich,premier,4:3,"['1.65', '4.14', '5.04']",2024-10-26
Brighton,Wolves,premier,2:2,"['1.56', '4.36', '5.64']",2024-10-26
Everton,Fulham,premier,1:1,"['2.73', '3.39', '2.61']",2024-10-26
Manchester City,Southampton,premier,1:0,"['1.12', '9.86', '20.26']",2024-10-26
Leicester,Nottingham,premier,1:3,"['2.95', '3.35', '2.44']",2024-10-25
Nottingham,Crystal Palace,premier,1:0,"['2.34', '3.24', '3.20']",2024-10-21
Wolves,Manchester City,premier,1:2,"['8.21', '5.45', '1.35']",2024-10-20
Liverpool,Chelsea,premier,2:1,"['1.66', '4.43', '4.60']",2024-10-20
Bournemouth,Arsenal,premier,2:0,"['4.79', '3.72', '1.76']",2024-10-19
Fulham,Aston Villa,premier,1:3,"['2.47', '3.43', '2.86']",2024-10-19
Ipswich,Everton,premier,0:2,"['2.36', '3.41', '3.04']",2024-10-19
Manchester Utd,Brentford,premier,2:1,"['1.68', '4.23', '4.69']",2024-10-19
Newcastle,Brighton,premier,0:1,"['1.73', '4.03', '4.58']",2024-10-19
Southampton,Leicester,premier,2:3,"['2.18', '3.53', '3.30']",2024-10-19
Tottenham,West Ham,premier,4:1,"['1.45', '5.17', '6.13']",2024-10-19
Aston Villa,Manchester Utd,premier,0:0,"['2.19', '3.82', '3.04']",2024-10-06
Brighton,Tottenham,premier,3:2,"['2.87', '3.90', '2.26']",2024-10-06
Chelsea,Nottingham,premier,1:1,"['1.49', '4.58', '6.31']",2024-10-06
West Ham,Ipswich,premier,4:1,"['1.89', '3.78', '3.99']",2024-10-05
Manchester City,Fulham,premier,3:2,"['1.26', '6.32', '10.86']",2024-10-05
Leicester,Bournemouth,premier,1:0,"['3.48', '3.77', '2.03']",2024-10-05
Everton,Newcastle,premier,0:0,"['3.65', '3.71', '1.97']",2024-10-05
Crystal Palace,Liverpool,premier,0:1,"['5.00', '4.09', '1.66']",2024-10-05
Brentford,Wolves,premier,5:3,"['2.04', '3.59', '3.56']",2024-10-05
Arsenal,Southampton,premier,3:1,"['1.17', '7.78', '15.39']",2024-10-05
Bournemouth,Southampton,premier,3:1,"['1.52', '4.49', '6.01']",2024-09-30
Ipswich,Aston Villa,premier,2:2,"['3.61', '3.58', '2.05']",2024-09-29
Manchester Utd,Tottenham,premier,0:3,"['2.11', '3.83', '3.21']",2024-09-29
Arsenal,Leicester,premier,4:2,"['1.19', '7.06', '15.46']",2024-09-28
Brentford,West Ham,premier,1:1,"['2.22', '3.57', '3.17']",2024-09-28
Chelsea,Brighton,premier,4:2,"['1.76', '4.17', '4.22']",2024-09-28
Everton,Crystal Palace,premier,2:1,"['2.73', '3.34', '2.63']",2024-09-28
Newcastle,Manchester City,premier,1:1,"['4.92', '4.18', '1.66']",2024-09-28
Nottingham,Fulham,premier,0:1,"['2.51', '3.16', '3.02']",2024-09-28
Wolves,Liverpool,premier,1:2,"['8.72', '5.88', '1.32']",2024-09-28
Manchester City,Arsenal,premier,2:2,"['1.78', '3.58', '4.91']",2024-09-22
Brighton,Nottingham,premier,2:2,"['1.83', '3.73', '4.32']",2024-09-22
Liverpool,Bournemouth,premier,3:0,"['1.26', '6.64', '10.21']",2024-09-21
West Ham,Chelsea,premier,0:3,"['3.51', '3.88', '1.99']",2024-09-21
Tottenham,Brentford,premier,3:1,"['1.47', '4.93', '6.14']",2024-09-21
Southampton,Ipswich,premier,1:1,"['2.42', '3.43', '2.94']",2024-09-21
Aston Villa,Wolves,premier,3:1,"['1.61', '4.24', '5.33']",2024-09-21
Leicester,Everton,premier,1:1,"['2.10', '3.49', '3.56']",2024-09-21
Crystal Palace,Manchester Utd,premier,0:0,"['2.85', '3.56', '2.41']",2024-09-21
Fulham,Newcastle,premier,3:1,"['2.87', '3.50', '2.43']",2024-09-21
Tottenham,Arsenal,premier,0:1,"['2.76', '3.48', '2.52']",2024-09-15
Wolves,Newcastle,premier,1:2,"['3.57', '3.66', '2.03']",2024-09-15
Crystal Palace,Leicester,premier,2:2,"['1.66', '3.95', '5.25']",2024-09-14
Manchester City,Brentford,premier,2:1,"['1.19', '7.55', '13.77']",2024-09-14
Liverpool,Nottingham,premier,0:1,"['1.23', '6.69', '11.87']",2024-09-14
Southampton,Manchester Utd,premier,0:3,"['4.19', '4.04', '1.79']",2024-09-14
Brighton,Ipswich,premier,0:0,"['1.48', '4.70', '6.42']",2024-09-14
Bournemouth,Chelsea,premier,0:1,"['3.08', '3.79', '2.18']",2024-09-14
Aston Villa,Everton,premier,3:2,"['1.67', '3.93', '5.19']",2024-09-14
Fulham,West Ham,premier,1:1,"['2.31', '3.38', '3.13']",2024-09-14
Chelsea,Crystal Palace,premier,1:1,"['1.65', '4.25', '5.00']",2024-09-01
Manchester Utd,Liverpool,premier,0:3,"['3.56', '4.01', '1.94']",2024-09-01
Newcastle,Tottenham,premier,2:1,"['2.45', '3.87', '2.63']",2024-09-01
Arsenal,Brighton,premier,1:1,"['1.36', '5.30', '8.01']",2024-08-31
Brentford,Southampton,premier,3:1,"['1.80', '3.85', '4.41']",2024-08-31
Everton,Bournemouth,premier,2:3,"['2.95', '3.43', '2.42']",2024-08-31
Ipswich,Fulham,premier,1:1,"['3.01', '3.40', '2.39']",2024-08-31
Leicester,Aston Villa,premier,1:2,"['3.99', '3.73', '1.90']",2024-08-31
Nottingham,Wolves,premier,1:1,"['1.99', '3.58', '3.73']",2024-08-31
West Ham,Manchester City,premier,1:3,"['7.37', '5.10', '1.40']",2024-08-31
Wolves,Chelsea,premier,2:6,"['3.88', '3.86', '1.90']",2024-08-25
Bournemouth,Newcastle,premier,1:1,"['2.57', '3.64', '2.63']",2024-08-25
Liverpool,Brentford,premier,2:0,"['1.21', '7.07', '12.09']",2024-08-25
Brighton,Manchester Utd,premier,2:1,"['2.38', '3.71', '2.81']",2024-08-24
Crystal Palace,West Ham,premier,0:2,"['1.96', '3.77', '3.72']",2024-08-24
Fulham,Leicester,premier,2:1,"['1.88', '3.68', '4.19']",2024-08-24
Manchester City,Ipswich,premier,4:1,"['1.09', '11.14', '26.94']",2024-08-24
Southampton,Nottingham,premier,0:1,"['2.34', '3.46', '3.04']",2024-08-24
Tottenham,Everton,premier,4:0,"['1.37', '5.35', '7.83']",2024-08-24
Aston Villa,Arsenal,premier,0:2,"['4.61', '3.98', '1.73']",2024-08-24
Leicester,Tottenham,premier,1:1,"['4.56', '4.20', '1.70']",2024-08-19
Brentford,Crystal Palace,premier,2:1,"['2.82', '3.28', '2.60']",2024-08-18
Chelsea,Manchester City,premier,0:2,"['3.62', '3.83', '1.97']",2024-08-18
Newcastle,Southampton,premier,1:0,"['1.38', '5.28', '7.38']",2024-08-17
West Ham,Aston Villa,premier,1:2,"['2.44', '3.50', '2.83']",2024-08-17
Nottingham,Bournemouth,premier,1:1,"['2.25', '3.42', '3.22']",2024-08-17
Ipswich,Liverpool,premier,0:2,"['7.79', '5.76', '1.35']",2024-08-17
Everton,Brighton,premier,0:3,"['3.04', '3.38', '2.37']",2024-08-17
Arsenal,Wolves,premier,2:0,"['1.15', '8.52', '17.88']",2024-08-17
Manchester Utd,Fulham,premier,1:0,"['1.65', '4.19', '5.02']",2024-08-16
Brighton,Manchester Utd,premier,0:2,"['2.58', '4.01', '2.46']",2024-05-19
Burnley,Nottingham,premier,1:2,"['2.89', '3.76', '2.32']",2024-05-19
Chelsea,Bournemouth,premier,2:1,"['1.41', '5.49', '6.78']",2024-05-19
Crystal Palace,Aston Villa,premier,5:0,"['1.68', '4.44', '4.56']",2024-05-19
Arsenal,Everton,premier,2:1,"['1.21', '7.30', '12.72']",2024-05-19
Liverpool,Wolves,premier,2:0,"['1.14', '9.82', '16.76']",2024-05-19
Luton,Fulham,premier,2:4,"['3.02', '3.90', '2.20']",2024-05-19
Manchester City,West Ham,premier,3:1,"['1.08', '13.99', '26.81']",2024-05-19
Sheffield Utd,Tottenham,premier,0:3,"['7.78', '5.94', '1.34']",2024-05-19
Brentford,Newcastle,premier,2:4,"['2.97', '3.99', '2.18']",2024-05-19
Brighton,Chelsea,premier,1:2,"['3.25', '4.06', '2.05']",2024-05-15
Manchester Utd,Newcastle,premier,3:2,"['2.69', '3.96', '2.39']",2024-05-15
Tottenham,Manchester City,premier,0:2,"['6.75', '5.99', '1.37']",2024-05-14
Aston Villa,Liverpool,premier,3:3,"['3.80', '4.52', '1.79']",2024-05-13
Manchester Utd,Arsenal,premier,0:1,"['8.83', '6.14', '1.30']",2024-05-12
Wolves,Crystal Palace,premier,1:3,"['3.21', '3.53', '2.23']",2024-05-11
Bournemouth,Brentford,premier,1:2,"['2.10', '3.88', '3.22']",2024-05-11
Everton,Sheffield Utd,premier,1:0,"['1.42', '5.03', '7.04']",2024-05-11
Fulham,Manchester City,premier,0:4,"['11.25', '7.16', '1.23']",2024-05-11
Newcastle,Brighton,premier,1:1,"['1.59', '4.72', '5.00']",2024-05-11
Nottingham,Chelsea,premier,2:3,"['4.15', '3.99', '1.82']",2024-05-11
Tottenham,Burnley,premier,2:1,"['1.31', '6.26', '8.07']",2024-05-11
West Ham,Luton,premier,3:1,"['1.86', '4.19', '3.75']",2024-05-11
Crystal Palace,Manchester Utd,premier,4:0,"['2.02', '3.88', '3.45']",2024-05-06
Brighton,Aston Villa,premier,1:0,"['2.45', '3.80', '2.69']",2024-05-05
Chelsea,West Ham,premier,5:0,"['1.50', '5.02', '5.68']",2024-05-05
Liverpool,Tottenham,premier,4:2,"['1.43', '5.68', '6.01']",2024-05-05
Arsenal,Bournemouth,premier,3:0,"['1.21', '7.20', '12.55']",2024-05-04
Brentford,Fulham,premier,0:0,"['2.06', '3.83', '3.34']",2024-05-04
Burnley,Newcastle,premier,1:4,"['3.36', '4.05', '2.00']",2024-05-04
Manchester City,Wolves,premier,5:1,"['1.09', '12.08', '23.00']",2024-05-04
Sheffield Utd,Nottingham,premier,1:3,"['4.84', '4.20', '1.67']",2024-05-04
Luton,Everton,premier,1:1,"['2.77', '3.62', '2.46']",2024-05-03
Chelsea,Tottenham,premier,2:0,"['2.46', '3.99', '2.60']",2024-05-02
Bournemouth,Brighton,premier,3:0,"['1.96', '4.07', '3.48']",2024-04-28
Nottingham,Manchester City,premier,0:2,"['10.56', '5.98', '1.28']",2024-04-28
Tottenham,Arsenal,premier,2:3,"['4.41', '4.18', '1.74']",2024-04-28
Newcastle,Sheffield Utd,premier,5:1,"['1.22', '7.31', '11.43']",2024-04-27
Wolves,Luton,premier,2:1,"['1.90', '3.86', '3.87']",2024-04-27
West Ham,Liverpool,premier,2:2,"['5.23', '4.79', '1.55']",2024-04-27
Manchester Utd,Burnley,premier,1:1,"['1.50', '5.07', '5.61']",2024-04-27
Everton,Brentford,premier,1:0,"['2.82', '3.45', '2.50']",2024-04-27
Aston Villa,Chelsea,premier,2:2,"['2.06', '3.96', '3.27']",2024-04-27
Fulham,Crystal Palace,premier,1:1,"['2.09', '3.50', '3.54']",2024-04-27
Brighton,Manchester City,premier,0:4,"['8.12', '5.60', '1.35']",2024-04-25
Crystal Palace,Newcastle,premier,2:0,"['3.07', '3.62', '2.26']",2024-04-24
Everton,Liverpool,premier,2:0,"['7.48', '5.11', '1.39']",2024-04-24
Manchester Utd,Sheffield Utd,premier,4:2,"['1.31', '6.14', '8.56']",2024-04-24
Wolves,Bournemouth,premier,0:1,"['2.76', '3.62', '2.47']",2024-04-24
Arsenal,Chelsea,premier,5:0,"['1.39', '5.19', '7.55']",2024-04-23
Aston Villa,Bournemouth,premier,3:1,"['1.85', '4.05', '3.92']",2024-04-21
Crystal Palace,West Ham,premier,5:2,"['2.23', '3.49', '3.23']",2024-04-21
Everton,Nottingham,premier,2:0,"['2.25', '3.28', '3.39']",2024-04-21
Fulham,Liverpool,premier,1:3,"['4.56', '4.41', '1.67']",2024-04-21
Luton,Brentford,premier,1:5,"['2.86', '3.60', '2.38']",2024-04-20
Sheffield Utd,Burnley,premier,1:4,"['2.63', '3.51', '2.64']",2024-04-20
Wolves,Arsenal,premier,0:2,"['11.27', '6.07', '1.26']",2024-04-20
Chelsea,Everton,premier,6:0,"['1.68', '4.12', '4.86']",2024-04-15
Liverpool,Crystal Palace,premier,0:1,"['1.19', '7.64', '13.21']",2024-04-14
West Ham,Fulham,premier,0:2,"['2.41', '3.58', '2.85']",2024-04-14
Arsenal,Aston Villa,premier,0:2,"['1.25', '6.40', '10.83']",2024-04-14
Bournemouth,Manchester Utd,premier,2:2,"['2.39', '3.97', '2.68']",2024-04-13
Brentford,Sheffield Utd,premier,2:0,"['1.49', '4.80', '6.13']",2024-04-13
Burnley,Brighton,premier,1:1,"['3.80', '3.94', '1.90']",2024-04-13
Manchester City,Luton,premier,5:1,"['1.09', '12.46', '23.71']",2024-04-13
Newcastle,Tottenham,premier,4:0,"['2.63', '3.97', '2.43']",2024-04-13
Nottingham,Wolves,premier,2:2,"['2.06', '3.50', '3.66']",2024-04-13
Manchester Utd,Liverpool,premier,2:2,"['4.90', '4.78', '1.59']",2024-04-07
Sheffield Utd,Chelsea,premier,2:2,"['6.56', '5.15', '1.43']",2024-04-07
Tottenham,Nottingham,premier,3:1,"['1.42', '5.27', '6.53']",2024-04-07
Fulham,Newcastle,premier,0:1,"['2.44', '3.65', '2.77']",2024-04-06
Wolves,West Ham,premier,1:2,"['2.81', '3.45', '2.48']",2024-04-06
Luton,Bournemouth,premier,2:1,"['3.73', '3.90', '1.93']",2024-04-06
Brighton,Arsenal,premier,0:3,"['6.29', '4.53', '1.50']",2024-04-06
Everton,Burnley,premier,1:0,"['1.76', '3.88', '4.67']",2024-04-06
Crystal Palace,Manchester City,premier,2:4,"['9.15', '5.20', '1.35']",2024-04-06
Aston Villa,Brentford,premier,3:3,"['1.64', '4.17', '5.25']",2024-04-06
Liverpool,Sheffield Utd,premier,3:1,"['1.07', '14.01', '26.57']",2024-04-04
Chelsea,Manchester Utd,premier,4:3,"['1.81', '4.23', '3.90']",2024-04-04
Brentford,Brighton,premier,0:0,"['2.47', '3.73', '2.70']",2024-04-03
Manchester City,Aston Villa,premier,4:1,"['1.22', '6.87', '12.56']",2024-04-03
Arsenal,Luton,premier,2:0,"['1.13', '9.53', '19.06']",2024-04-03
Bournemouth,Crystal Palace,premier,1:0,"['1.89', '3.77', '4.04']",2024-04-02
Burnley,Wolves,premier,1:1,"['2.34', '3.50', '3.01']",2024-04-02
Newcastle,Everton,premier,1:1,"['2.01', '3.75', '3.58']",2024-04-02
Nottingham,Fulham,premier,3:1,"['2.71', '3.42', '2.62']",2024-04-02
West Ham,Tottenham,premier,1:1,"['3.38', '4.14', '1.98']",2024-04-02
Liverpool,Brighton,premier,2:1,"['1.30', '6.23', '8.84']",2024-03-31
Manchester City,Arsenal,premier,0:0,"['2.05', '3.61', '3.59']",2024-03-31
Nottingham,Crystal Palace,premier,1:1,"['2.26', '3.33', '3.33']",2024-03-30
Tottenham,Luton,premier,2:1,"['1.21', '7.90', '11.31']",2024-03-30
Sheffield Utd,Fulham,premier,3:3,"['4.76', '4.05', '1.71']",2024-03-30
Brentford,Manchester Utd,premier,1:1,"['3.30', '3.97', '2.05']",2024-03-30
Newcastle,West Ham,premier,4:3,"['1.85', '4.14', '3.84']",2024-03-30
Chelsea,Burnley,premier,2:2,"['1.27', '6.49', '10.25']",2024-03-30
Aston Villa,Wolves,premier,2:0,"['1.54', '4.40', '6.11']",2024-03-30
Bournemouth,Everton,premier,2:1,"['2.20', '3.67', '3.18']",2024-03-30
